"original_name";"name_clear"
"Perca flavescens";"Perca flavescens"
"Lepomis gibbosus";"Lepomis gibbosus"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"Asplanchna sp.";"Asplanchna"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Holopedium gibberum";"Holopedium gibberum"
"Ceriodaphnia quadrangula";"Ceriodaphnia quadrangula"
"A. affinis";"Alona affinis"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"Gastropus stylifer";"Gastropus stylifer"
"Polyarthra euryptera";"Polyarthra euryptera"
"P. major";"Polyarthra major"
"C. unicornis";"C. unicornis"
"Colletheca mutabilis";"Colletheca mutabilis"
"E. triquetra";"E_triquetra"
"fish eggs";"Fish eggs"
"P. remata";"Polyarthra remata"
"periphyton";"Periphyton"
"P. inconspicuum";"Peridinium inconspicuum"
"P. cinctum";"Peridinium cinctum"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Scenedesmus sp.";"Scenedesmus"
"M. sp.";"Mallamonas"
"Chrysosphaerella longispina";"Chrysosphaerella longispina"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"M. punctata";"Merismopedia punctata"
"Chroococcus limneticus";"Chroococcus limneticus"
