"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"fish fry";"Fish fry"
"C. vernalis";"Cyclops vernalis"
"Mesocyclops edax";"Mesocyclops edax"
"Eucyclops agilis";"Eucyclops agilis"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. leptomus";"Diaptomus leptopus"
"D. sicilis";"D_sicilis"
"D. pulex";"Daphnia pulex"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Chydorus sphaericus";"Chydorus sphaericus"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"K. testudo";"Keratella testudo"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"fish eggs";"Fish eggs"
"P. inconspicuum";"Peridinium inconspicuum"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"T. caudatum";"Tetraedron caudatum"
"Scenedesmus sp.";"Scenedesmus"
"Navicula sp.";"Navicula"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"periphyton";"Periphyton"
