"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Fundulus diaphanus";"Fundulus diaphanus"
"Rhinichthys atratulus";"Rhinichthys atratulus"
"Catostomus commersoni";"Catostomus commersoni"
"fish fry";"Fish fry"
"C. scutifer";"Cyclops scutifer"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. ambigua";"Daphnia ambigua"
"D. pulex";"Daphnia pulex"
"Bosmina longirsotris";"Bosmina longirsotris"
"Holopedium gibberum";"Holopedium gibberum"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"K. longispina";"Kelicottia longispina"
"Keratella cochlearis";"Keratella cochlearis"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"K. testudo";"Keratella testudo"
"Gastropus stylifer";"Gastropus stylifer"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"C. unicornis";"C. unicornis"
"Peridinium limbatum";"Peridinium limbatum"
"P. cinctum";"Peridinium cinctum"
"Gymnodinium palustre";"Gymnodinium palustre"
"s. sp.";"Staurastrum"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Melosira sp.";"Melosira"
"periphyton";"Periphyton"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Schroederia setigera";"Schroederia setigera"
"Botryococcus braunii";"Botryococcus braunii"
"S. longus";"Scenedesmus longus"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"Uroglenopsis americana";"Uroglenopsis americana"
"Merismopedia tenuissima";"Merismopedia tenuissima"
