"original_name";"name_clear"
"Perca flavescens";"Perca flavescens"
"fish fry";"Fish fry"
"Polyphemus pediculus";"Polyphemus pediculus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"Bosmina longirsotris";"Bosmina longirsotris"
"Chydorus sphaericus";"Chydorus sphaericus"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"Gastropus stylifer";"Gastropus stylifer"
"P. major";"Polyarthra major"
"Synchaeta sp.";"Synchaeta"
"L. mira";"Lecane mira"
"fish eggs";"Fish eggs"
"P. inconspicuum";"Peridinium inconspicuum"
"periphyton";"Periphyton"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Navicula sp.";"Navicula"
"M. sp.";"Mallamonas"
"D. sp.";"Dinobryon"
"Chrysosphaerella longispina";"Chrysosphaerella longispina"
