"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Catostomus commersoni";"Catostomus commersoni"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"Chrosomus eos";"Chrosomus eos"
"fish fry";"Fish fry"
"Cyclops bicuspidatus";"Cyclops bicuspidatus"
"Mesocyclops edax";"Mesocyclops edax"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. pulex";"Daphnia pulex"
"Bosmina longirsotris";"Bosmina longirsotris"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"P. major";"Polyarthra major"
"periphyton";"Periphyton"
"Gymnodinium palustre";"Gymnodinium palustre"
"Zygnema sp.";"Zygnema"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Botryococcus braunii";"Botryococcus braunii"
"Navicula sp.";"Navicula"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"M. punctata";"Merismopedia punctata"
"A. flos-aquae";"Anabaena flos-aquae"
