"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Semotilus atromaculatus";"Semotilus atromaculatus"
"Notropis cornutus";"Notropis cornutus"
"Catostomus commersoni";"Catostomus commersoni"
"fish fry";"Fish fry"
"Epishura lacustris";"Epishura lacustris"
"C. vernalis";"Cyclops vernalis"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. sicilis";"D_sicilis"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Ilyocryptus spinifer";"Ilyocryptus spinifer"
"Kelicottia bostoniensis";"Kelicottia bostoniensis"
"Keratella cochlearis";"Keratella cochlearis"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"T. porcellus";"T_porcellus"
"G. hyptopus";"G_hyptopus"
"Polyarthra euryptera";"Polyarthra euryptera"
"P. major";"Polyarthra major"
"P. vulgaris";"Polyarthra vulgaris"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"C. unicornis";"C. unicornis"
"Colletheca mutabilis";"Colletheca mutabilis"
"Euastrum sp.";"Euastrum"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Melosira sp.";"Melosira"
"periphyton";"Periphyton"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"C. cambricum";"Coelastrum cambricum"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Elakatrothrix gelatinosa";"Elakatothrix gelatinosa"
"T. caudatum";"Tetraedron caudatum"
"Crucigenia quadrata";"Crucigenia quadrata"
"C. rectangularis";"Crucigenia rectangularis"
"C. tetrapaedia";"C. tetrapaedia"
"Spondylosium planum";"Spondylosium planum"
"Ankistrodesmus falcatus";"Ankistrodesmus falcatus"
"Quadrigula closterioides";"Quadrigula closterioides"
"Pediastrum tetras";"Pediastrum tetras"
"Scenedesmus sp.";"Scenedesmus"
"Dictyosphaerium pulchellum";"Dictyosphaerium pulchellum"
"C. sp.";"Cyclotella"
"C. sp.";"Chroococcus"
"M. sp.";"Mallamonas"
"Merismopedia tenuissima";"Merismopedia tenuissima"
