"original_name";"name_clear"
"Polyphemus pediculus";"Polyphemus pediculus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. leptomus";"Diaptomus leptopus"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Chydorus sphaericus";"Chydorus sphaericus"
"Acantholeberis curvirostris";"Acantholeberis curvirostris"
"K. taurocephala";"Keratella taurocephala"
"Conochiloides dossuarius";"Conochiloides dossuarius"
"Lepadella triptera";"Lepadella triptera"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"s. sp.";"Staurastrum"
"Oocyctis sp.";"Oocyctis"
"Schroederia setigera";"Schroederia setigera"
"Closterium sp.";"Closterium"
"Navicula sp.";"Navicula"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Asterionella formosa";"Asterionella formosa"
"M. sp.";"Mallamonas"
"D. sp.";"Dinobryon"
"M. punctata";"Merismopedia punctata"
"periphyton";"Periphyton"
"Zygnema sp.";"Zygnema"
