"original_name";"name_clear"
"Salvelinus fontinalis x S. namaycush";"Salvelinus fontinalis x S. namaycush"
"Semotilus atromaculatus";"Semotilus atromaculatus"
"Notemigonus crysoleucas";"Notemigonus crysoleucas"
"Lepomis gibbosus";"Lepomis gibbosus"
"Catostomus commersoni";"Catostomus commersoni"
"Ictalurus nebulosus";"Ictalurus nebulosus"
"Chrosomus eos";"Chrosomus eos"
"fish fry";"Fish fry"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. ambigua";"Daphnia ambigua"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"Ceriodaphnia quadrangula";"Ceriodaphnia quadrangula"
"K. taurocephala";"Keratella taurocephala"
"Gastropus stylifer";"Gastropus stylifer"
"P. major";"Polyarthra major"
"P. remata";"Polyarthra remata"
"P. inconspicuum";"Peridinium inconspicuum"
"Cosmarium sp.";"Cosmarium"
"periphyton";"Periphyton"
"fish eggs";"Fish eggs"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Tetraedrom minimum";"Tetraedrom minimum"
"M. sp.";"Mallamonas"
"D. sp.";"Dinobryon"
"S. sp.";"Synura"
"Anabaena sp.";"Anabaena"
