"original_name";"name_clear"
"Mesocyclops edax";"Mesocyclops edax"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"Chydorus sphaericus";"Chydorus sphaericus"
"K. taurocephala";"Keratella taurocephala"
"Gastropus stylifer";"Gastropus stylifer"
"Synchaeta sp.";"Synchaeta"
"P. inconspicuum";"Peridinium inconspicuum"
"Gymnodinium palustre";"Gymnodinium palustre"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Chlamydomonas sp.";"Chlamydomonas"
"s. sp.";"Staurastrum"
"Oocyctis sp.";"Oocyctis"
"Schroederia setigera";"Schroederia setigera"
"Spondylosium planum";"Spondylosium planum"
"Navicula sp.";"Navicula"
"Tabellaria fenestrata";"Tabellaria fenestrata"
"Asterionella formosa";"Asterionella formosa"
"C. sp.";"Cyclotella"
"C. sp.";"Chroococcus"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"Diceras sp.";"Diceras"
"M. punctata";"Merismopedia punctata"
"Rhabdoderma lineare";"Rhabdoderma lineare"
"periphyton";"Periphyton"
