Nb	Name	Fish	Carn_zoo	Herb_crust	Herb_rot	Phyto			
1	Salvelinusnamaycush(laketrout)	1	0	0	0	0			
2	Salvelinusfontinalis(brooktrout)	1	0	0	0	0			
3	Salmorutta(browntrout)	1	0	0	0	0			
4	Salmogairdneri(rainbowtrout)	1	0	0	0	0			
5	SalvelinusfontinalisxSnamaycush(splake)	1	0	0	0	0			
6	Micropterusdolomieui(smallmouthbass)	1	0	0	0	0			
7	Micropterussalmoides(largemouthbass)	1	0	0	0	0			
8	Coregonusartedii(cisco)	1	0	0	0	0			
9	Percaflavescens(yellowperch)	1	0	0	0	0			
10	Coregonusclupeaformis(lakewhitefish)	1	0	0	0	0			
11	Amploblitesrupestris(rockbass)	1	0	0	0	0			
12	Fundulusdiaphanus(bandedkillifish)	1	0	0	0	0			
13	Semotiluscorporalis(fallfish)	1	0	0	0	0			
14	Semotilusatromaculatus(creekchub)	1	0	0	0	0			
15	Rhinichthysatratulus(blacknosedace)	1	0	0	0	0			
16	Osmerusmordax(rainbowsmelt)	1	0	0	0	0			
17	Notemigonuscrysoleucas(goldenshiner)	1	0	0	0	0			
18	Lepomisgibbosus(pumpkinseedsunfish)	1	0	0	0	0			
19	Pimphalespromelas(fatheadminnow)	1	0	0	0	0			
20	Notropiscornutus(commonshiner)	1	0	0	0	0			
21	Catostomuscommersoni(whitesucker)	1	0	0	0	0			
22	Ictalurusnebulosus(brownbullhead)	1	0	0	0	0			
23	Umbralimi(centralmudminnow)	1	0	0	0	0			
24	Prosopiumcylindraceum(roundwhitefish)	1	0	0	0	0			
25	Chrosomuseos(northernredbellydace)	1	0	0	0	0			
26	Pimphalesnotatus(bluntnoseminnow)	1	0	0	0	0			
27	Catostomuscatostomus(longnosesucker)	1	0	0	0	0			
28	fisheggs	1	0	0	0	0			
29	fishfry	1	0	0	0	0			
30	Epishuralacustris	0	1	0	0	0			
31	Cyclopsbicuspidatus	0	1	0	0	0			
32	Cscutifer	0	1	0	0	0			
33	Cvernalis	0	1	0	0	0			
34	Mesocyclopsedax	0	1	0	0	0			
35	Tropocyclopsparsinus	0	1	0	0	0			
36	Eucyclopsagilis	0	1	0	0	0			
37	orthocyclopsmodestus	0	1	0	0	0			
38	Paracyclopssp	0	1	0	0	0			
39	Leptodorakindtii	0	1	0	0	0			
40	Polyphemuspediculus	0	1	0	0	0			
41	Asplanchnasp	0	1	0	0	0			
42	copepodnauplii	0	0	1	0	0			
43	Diaptomusminutus	0	0	1	0	0			
44	Dleptomus	0	0	1	0	0			
45	Dsicilis	0	0	1	0	0			
46	Daphniagaleatamendotae	0	0	1	0	0			
47	Ddubia	0	0	1	0	0			
48	Dlongiremis	0	0	1	0	0			
49	Dcatawba	0	0	1	0	0			
50	Dambigua	0	0	1	0	0			
51	Dretrocurva	0	0	1	0	0			
52	Dpulex	0	0	1	0	0			
53	Dparvula	0	0	1	0	0			
54	Bosminalongirsotris	0	0	1	0	0			
55	Diaphanosomabirgei	0	0	1	0	0			
56	Holopediumgibberum	0	0	1	0	0			
57	Chydorussphaericus	0	0	1	0	0			
58	Ceriodaphniaquadrangula	0	0	1	0	0			
59	Creticulata	0	0	1	0	0			
60	Chydorusbicornutus	0	0	1	0	0			
61	Sidacrystallina	0	0	1	0	0			
62	Ilyocryptusspinifer	0	0	1	0	0			
63	Alonacostata	0	0	1	0	0			
64	Arectangula	0	0	1	0	0			
65	Aaffinis	0	0	1	0	0			
66	Aquadrangularis	0	0	1	0	0			
67	Ophryoxusgracilis	0	0	1	0	0			
68	Acantholeberiscurvirostris	0	0	1	0	0			
69	Acroperusharpae	0	0	1	0	0			
70	Alonellaacutirostris	0	0	1	0	0			
71	Pleuroxishamulatus	0	0	1	0	0			
72	Kelicottiabostoniensis	0	0	0	1	0			
73	Klongispina	0	0	0	1	0			
74	Keratellacochlearis	0	0	0	1	0			
75	Kcrassa	0	0	0	1	0			
76	Kserrulata	0	0	0	1	0			
77	Ktaurocephala	0	0	0	1	0			
78	Ktestudo	0	0	0	1	0			
79	Trichocercacylindrica	0	0	0	1	0			
80	Tmulticrinis	0	0	0	1	0			
81	Tpusilla	0	0	0	1	0			
82	Tsimilis	0	0	0	1	0			
83	Tporcellus	0	0	0	1	0			
84	Gastropusstylifer	0	0	0	1	0			
85	Ghyptopus	0	0	0	1	0			
86	Ploesomatruncatum	0	0	0	1	0			
87	Phudsoni	0	0	0	1	0			
88	Polyarthraeuryptera	0	0	0	1	0			
89	Pmajor	0	0	0	1	0			
90	Premata	0	0	0	1	0			
91	Pvulgaris	0	0	0	1	0			
92	Synchaetasp	0	0	0	1	0			
93	Conochiloidesdossuarius	0	0	0	1	0			
94	Cunicornis	0	0	0	1	0			
95	Chippocrepis	0	0	0	1	0			
96	Collethecamutabilis	0	0	0	1	0			
97	Lecanesp	0	0	0	1	0			
98	Lmira	0	0	0	1	0			
99	Ascomorphaecaudis	0	0	0	1	0			
100	Euchlanissp	0	0	0	1	0			
101	Ecalpidia	0	0	0	1	0			
102	Etriquetra	0	0	0	1	0			
103	Manfrediumendactylitum	0	0	0	1	0			
104	Monostylalunaris	0	0	0	1	0			
105	Trichotriatetractis	0	0	0	1	0			
106	Eucentrumsp	0	0	0	1	0			
107	Lepadellatriptera	0	0	0	1	0			
108	Lcristata	0	0	0	1	0			
109	Cryptomonasovata	0	0	0	0	1			
110	Cerosa	0	0	0	0	1			
111	Peridiniumlimbatum	0	0	0	0	1			
112	Pwisconsinense	0	0	0	0	1			
113	Pinconspicuum	0	0	0	0	1			
114	Pcinctum	0	0	0	0	1			
115	Ceratiumcarolinianum	0	0	0	0	1			
116	Gymnodiniumpalustre	0	0	0	0	1			
117	Euglenasp	0	0	0	0	1			
118	Eacus	0	0	0	0	1			
119	nanoflagellates	0	0	0	0	1			
120	Zygnemasp	0	0	0	0	1			
121	Staurastrummegacanthum	0	0	0	0	1			
122	ssp	0	0	0	0	1			
123	Halothecasp	0	0	0	0	1			
124	Desmidiumsp	0	0	0	0	1			
125	Coelastrumsp	0	0	0	0	1			
126	Ccambricum	0	0	0	0	1			
127	Xanthidiumsp	0	0	0	0	1			
128	Xarmatum	0	0	0	0	1			
129	Kirchneriellalunaris	0	0	0	0	1			
130	Oocyctissp	0	0	0	0	1			
