Taxon code;Identification;Identification_clean;note
1;Salvelinus namaycush ;Salvelinus namaycush ;
2;Salvelinus fontinalis ;Salvelinus fontinalis ;
3;Salmo rutta ;Salmo rutta ;
4;Salmo gairdneri ;Salmo gairdneri ;
5;Salvelinus fontinalis x S. namaycush ;Salvelinus fontinalis x Salvelinus namaycush ;
6;Micropterus dolomieui ;Micropterus dolomieui ;
7;Micropterus salmoides ;Micropterus salmoides ;
8;Coregonus artedii ;Coregonus artedii ;
9;Perca flavescens ;Perca flavescens ;
10;Coregonus clupeaformis ;Coregonus clupeaformis ;
11;Amploblites rupestris ;Amploblites rupestris ;
12;Fundulus diaphanus ;Fundulus diaphanus ;
13;Semotilus corporalis ;Semotilus corporalis ;
14;Semotilus atromaculatus ;Semotilus atromaculatus ;
15;Rhinichthys atratulus ;Rhinichthys atratulus ;
16;Osmerus mordax ;Osmerus mordax ;
17;Notemigonus crysoleucas ;Notemigonus crysoleucas ;
18;Lepomis gibbosus ;Lepomis gibbosus ;
19;Pimphales promelas ;Pimphales promelas ;
20;Notropis cornutus ;Notropis cornutus ;
21;Catostomus commersoni ;Catostomus commersoni ;
22;Ictalurus nebulosus ;Ictalurus nebulosus ;
23;Umbra limi ;Umbra limi ;
24;Prosopium cylindraceum ;Prosopium cylindraceum ;
25;Chrosomus eos ;Chrosomus eos ;
26;Pimphales notatus ;Pimphales notatus ;
27;Catostomus catostomus ;Catostomus catostomus ;
28;fish eggs;fish eggs;
29;fish fry;fish fry;
30;Epishura lacustris;Epishura lacustris;taxa 30 to 41 are
31;Cyclops bicuspidatus;Cyclops bicuspidatus;carnivorous zooplankton
32;C. scutifer;Cyclops scutifer;
33;C. vernalis;Cyclops vernalis;
34;Mesocyclops edax;Mesocyclops edax;
35;Tropocyclops parsinus;Tropocyclops parsinus;
36;Eucyclops agilis;Eucyclops agilis;
37;orthocyclops modestus;orthocyclops modestus;
38;Paracyclops sp.;Paracyclops;
39;Leptodora kindtii;Leptodora kindtii;
40;Polyphemus pediculus;Polyphemus pediculus;
41;Asplanchna sp.;Asplanchna;
42;copepod nauplii;copepod nauplii;taxa 42 to 71 are
43;Diaptomus minutus;Diaptomus minutus;herbivorous crustacean zooplankton
44;D. leptomus;Diaptomus leptomus;
45;D. sicilis;Diaptomus sicilis;
46;Daphnia galeata mendotae;Daphnia galeata mendotae;
47;D. dubia;Daphnia dubia;
48;D. longiremis;Daphnia longiremis;
49;D. catawba;Daphnia catawba;
50;D. ambigua;Daphnia ambigua;
51;D. retrocurva;Daphnia retrocurva;
52;D. pulex;Daphnia pulex;
53;D. parvula;Daphnia parvula;
54;Bosmina longirsotris;Bosmina longirsotris;
55;Diaphanosoma birgei;Diaphanosoma birgei;
56;Holopedium gibberum;Holopedium gibberum;
57;Chydorus sphaericus;Chydorus sphaericus;
58;Ceriodaphnia quadrangula;Ceriodaphnia quadrangula;
59;C. reticulata;Ceriodaphnia reticulata;
60;Chydorus bicornutus;Chydorus bicornutus;
61;Sida crystallina;Sida crystallina;
62;Ilyocryptus spinifer;Ilyocryptus spinifer;
63;Alona costata;Alona costata;
64;A. rectangula;Alona rectangula;
65;A. affinis;Alona affinis;
66;A. quadrangularis;Alona quadrangularis;
67;Ophryoxus gracilis;Ophryoxus gracilis;
68;Acantholeberis curvirostris;Acantholeberis curvirostris;
69;Acroperus harpae;Acroperus harpae;
70;Alonella acutirostris;Alonella acutirostris;
71;Pleuroxis hamulatus;Pleuroxis hamulatus;
72;Kelicottia bostoniensis;Kellicottia bostoniensis;taxa 72 to 108 are
73;K. longispina;Kellicottia longispina;herbivorous rotiferan zooplankton
74;Keratella cochlearis;Keratella cochlearis;
75;K. crassa;Keratella crassa;
76;K. serrulata;Keratella serrulata;
77;K. taurocephala;Keratella taurocephala;
78;K. testudo;Keratella testudo;
79;Trichocerca cylindrica;Trichocerca cylindrica;
80;T. multicrinis;Trichocerca multicrinis;
81;T. pusilla;Trichocerca pusilla;
82;T. similis;Trichocerca similis;
83;T. porcellus;Trichocerca porcellus;
84;Gastropus stylifer;Gastropus stylifer;
85;G. hyptopus;Gastropus hyptopus;
86;Ploesoma truncatum;Ploesoma truncatum;
87;P. hudsoni;Ploesoma hudsoni;
88;Polyarthra euryptera;Polyarthra euryptera;
89;P. major;Polyarthra major;
90;P. remata;Polyarthra remata;
91;P. vulgaris;Polyarthra vulgaris;
92;Synchaeta sp.;Synchaeta;
93;Conochiloides dossuarius;Conochiloides dossuarius;
94;C. unicornis;Conochilus unicornis;
95;C. hippocrepis;Conochilus hippocrepis;
96;Colletheca mutabilis;Colletheca mutabilis;
97;Lecane sp.;Lecane;
98;L. mira;Lecane mira;
99;Ascomorpha ecaudis;Ascomorpha ecaudis;
100;Euchlanis sp.;Euchlanis;
101;E. calpidia;Euchlanis calpidia;
102;E. triquetra;Euchlanis triquetra;
103;Manfredium endactylitum;Manfredium endactylitum;
104;Monostyla lunaris;Monostyla lunaris;
105;Trichotria tetractis;Trichotria tetractis;
106;Eucentrum sp.;Eucentrum;
107;Lepadella triptera;Lepadella triptera;
108;L. cristata;Lepadella cristata;
109;Cryptomonas ovata;Cryptomonas ovata;taxa 109 to 219 are
110;C. erosa;Cryptomonas erosa;phytoplankton
111;Peridinium limbatum;Peridinium limbatum;
112;P. wisconsinense;Peridinium wisconsinense;
113;P. inconspicuum;Peridinium inconspicuum;
114;P. cinctum;Peridinium cinctum;
115;Ceratium carolinianum;Ceratium carolinianum;
116;Gymnodinium palustre;Gymnodinium palustre;
117;Euglena sp.;Euglena;
118;E. acus;Euglena acus;
119;nanoflagellates;nanoflagellates;
120;Zygnema sp.;Zygnema;
121;Staurastrum megacanthum;Staurastrum megacanthum;
122;s. sp.;Staurastrum;
123;Halotheca sp.;Halotheca;
124;Desmidium sp.;Desmidium;
125;Coelastrum sp.;Coelastrum;
126;C. cambricum;Coelastrum cambricum;
127;Xanthidium sp.;Xanthidium;
128;X. armatum;Xanthidium armatum;
129;Kirchneriella lunaris;Kirchneriella lunaris;
130;Oocyctis sp.;Oocyctis;
131;Sphaerocystis schroeteri;Sphaerocystis schroeteri;
132;Schroederia setigera;Schroederia setigera;
133;Elakatrothrix gelatinosa;Elakatrothrix gelatinosa;
134;Arthrodesmus incus;Arthrodesmus incus;
135;A. subulatus;Arthrodesmus subulatus;
136;A. octocornis;Arthrodesmus octocornis;
137;Tetraedrom minimum;Tetraëdron minimum;
138;T. caudatum;Tetraëdron caudatum;
139;T. sp.;Tetraëdron;
140;Botryococcus braunii;Botryococcus braunii;
141;Crucigenia quadrata;Crucigenia quadrata;
142;C. rectangularis;Crucigenia rectangularis;
143;C. tetrapaedia;Crucigenia tetrapaedia;
144;C. crucifera;Crucigenia crucifera;
145;Spondylosium planum;Spondylosium planum;
146;Ankistrodesmus falcatus;Ankistrodesmus falcatus;
147;Quadrigula closterioides;Quadrigula closterioides;
148;Pediastrum tetras;Pediastrum tetras;
149;Scenedesmus sp.;Scenedesmus;
150;S. quadricauda;Scenedesmus quadricauda;
151;S. dimorphus;Scenedesmus dimorphus;
152;S. longus;Scenedesmus longus;
153;S. serratus;Scenedesmus serratus;
154;S. arcuatus;Scenedesmus arcuatus;
155;Cosmarium sp.;Cosmarium;
156;Euastrum sp.;Euastrum;
157;Closterium sp.;Closterium;
158;Micrasterias sp.;Micrasterias;
159;Ankistrodesmus sp.;Ankistrodesmus;
160;A. spiralis;Ankistrodesmus spiralis;
161;Quadrigula sp.;Quadrigula;
162;Q. lacustris;Quadrigula lacustris;
163;Dimorphocuccus lunatus;Dimorphocuccus lunatus;
164;Nephrocytium sp.;Nephrocytium;
165;Dictyosphaerium pulchellum;Dictyosphaerium pulchellum;
166;Carteria sp.;Carteria;
167;Chlamydomonas sp.;Chlamydomonas;
168;Rhizosolenia eriensis;Rhizosolenia eriensis;
169;Pleurosigma sp.;Pleurosigma;
170;Cocconeia sp.;Cocconeia;
171;Navicula sp.;Navicula;
172;Tabellaria fenestrata;Tabellaria fenestrata;
173;T. flocculosa;Tabellaria flocculosa;
174;Asterionella formosa;Asterionella formosa;
175;Melosira sp.;Melosira;
176;Cyclotella glomerata;Cyclotella glomerata;
177;C. michiganiana;Cyclotella michiganiana;
178;C. sp.;Cyclotella;
179;Fragillaria crotonensis;Fragillaria crotonensis;
180;F. intermedia;Fragillaria intermedia;
181;F. sp.;Fragillaria;
182;Nitzschia sp.;Nitzschia;
183;Gyrosigma sp.;Gyrosigma;
184;Gomphonema sp.;Gomphonema;
185;Synedra nana;Synedra nana;
186;S. ulna;Synedra ulna;
187;Diatoma sp.;Diatoma;
188;Mallamonas hamata;Mallamonas hamata;
189;M. acaroides;Mallamonas acaroides;
190;M. hindonii;Mallamonas hindonii;
191;M. akrokomos;Mallamonas akrokomos;
192;M. sp.;Mallamonas;
193;Dinobryon bavaricum;Dinobryon bavaricum;
194;D. divergens;Dinobryon divergens;
