Taxon code	Identification	note
1	Salvelinus namaycush 	
2	Salvelinus fontinalis 	
3	Salmo rutta 	
4	Salmo gairdneri 	
5	Salvelinus fontinalis x S. namaycush 	
6	Micropterus dolomieui 	
7	Micropterus salmoides 	
8	Coregonus artedii 	
9	Perca flavescens 	
10	Coregonus clupeaformis 	
11	Amploblites rupestris 	
12	Fundulus diaphanus 	
13	Semotilus corporalis 	
14	Semotilus atromaculatus 	
15	Rhinichthys atratulus 	
16	Osmerus mordax 	
17	Notemigonus crysoleucas 	
18	Lepomis gibbosus 	
19	Pimphales promelas 	
20	Notropis cornutus 	
21	Catostomus commersoni 	
22	Ictalurus nebulosus 	
23	Umbra limi 	
24	Prosopium cylindraceum 	
25	Chrosomus eos 	
26	Pimphales notatus 	
27	Catostomus catostomus 	
28	fish eggs	
29	fish fry	
30	Epishura lacustris	taxa 30 to 41 are
31	Cyclops bicuspidatus	carnivorous zooplankton
32	C. scutifer	
33	C. vernalis	
34	Mesocyclops edax	
35	Tropocyclops parsinus	
36	Eucyclops agilis	
37	orthocyclops modestus	
38	Paracyclops sp.	
39	Leptodora kindtii	
40	Polyphemus pediculus	
41	Asplanchna sp.	
42	copepod nauplii	taxa 42 to 71 are
43	Diaptomus minutus	herbivorous crustacean zooplankton
44	D. leptomus	
45	D. sicilis	
46	Daphnia galeata mendotae	
47	D. dubia	
48	D. longiremis	
49	D. catawba	
50	D. ambigua	
51	D. retrocurva	
52	D. pulex	
53	D. parvula	
54	Bosmina longirsotris	
55	Diaphanosoma birgei	
56	Holopedium gibberum	
57	Chydorus sphaericus	
58	Ceriodaphnia quadrangula	
59	C. reticulata	
60	Chydorus bicornutus	
61	Sida crystallina	
62	Ilyocryptus spinifer	
63	Alona costata	
64	A. rectangula	
65	A. affinis	
66	A. quadrangularis	
67	Ophryoxus gracilis	
68	Acantholeberis curvirostris	
69	Acroperus harpae	
70	Alonella acutirostris	
71	Pleuroxis hamulatus	
72	Kelicottia bostoniensis	taxa 72 to 108 are
73	K. longispina	herbivorous rotiferan zooplankton
74	Keratella cochlearis	
75	K. crassa	
76	K. serrulata	
77	K. taurocephala	
78	K. testudo	
79	Trichocerca cylindrica	
80	T. multicrinis	
81	T. pusilla	
82	T. similis	
83	T. porcellus	
84	Gastropus stylifer	
85	G. hyptopus	
86	Ploesoma truncatum	
87	P. hudsoni	
88	Polyarthra euryptera	
89	P. major	
90	P. remata	
91	P. vulgaris	
92	Synchaeta sp.	
93	Conochiloides dossuarius	
94	C. unicornis	
95	C. hippocrepis	
96	Colletheca mutabilis	
97	Lecane sp.	
98	L. mira	
99	Ascomorpha ecaudis	
100	Euchlanis sp.	
101	E. calpidia	
102	E. triquetra	
103	Manfredium endactylitum	
104	Monostyla lunaris	
105	Trichotria tetractis	
106	Eucentrum sp.	
107	Lepadella triptera	
108	L. cristata	
109	Cryptomonas ovata	taxa 109 to 219 are
110	C. erosa	phytoplankton
111	Peridinium limbatum	
112	P. wisconsinense	
113	P. inconspicuum	
114	P. cinctum	
115	Ceratium carolinianum	
116	Gymnodinium palustre	
117	Euglena sp.	
118	E. acus	
119	nanoflagellates	
120	Zygnema sp.	
121	Staurastrum megacanthum	
122	s. sp.	
123	Halotheca sp.	
124	Desmidium sp.	
125	Coelastrum sp.	
126	C. cambricum	
127	Xanthidium sp.	
128	X. armatum	
129	Kirchneriella lunaris	
130	Oocyctis sp.	
131	Sphaerocystis schroeteri	
132	Schroederia setigera	
133	Elakatrothrix gelatinosa	
134	Arthrodesmus incus	
135	A. subulatus	
136	A. octocornis	
137	Tetraedrom minimum	
138	T. caudatum	
139	T. sp.	
140	Botryococcus braunii	
141	Crucigenia quadrata	
142	C. rectangularis	
143	C. tetrapaedia	
144	C. crucifera	
145	Spondylosium planum	
146	Ankistrodesmus falcatus	
147	Quadrigula closterioides	
148	Pediastrum tetras	
149	Scenedesmus sp.	
150	S. quadricauda	
151	S. dimorphus	
152	S. longus	
153	S. serratus	
154	S. arcuatus	
155	Cosmarium sp.	
156	Euastrum sp.	
157	Closterium sp.	
158	Micrasterias sp.	
159	Ankistrodesmus sp.	
160	A. spiralis	
161	Quadrigula sp.	
162	Q. lacustris	
163	Dimorphocuccus lunatus	
164	Nephrocytium sp.	
165	Dictyosphaerium pulchellum	
166	Carteria sp.	
167	Chlamydomonas sp.	
168	Rhizosolenia eriensis	
169	Pleurosigma sp.	
170	Cocconeia sp.	
171	Navicula sp.	
172	Tabellaria fenestrata	
173	T. flocculosa	
174	Asterionella formosa	
175	Melosira sp.	
176	Cyclotella glomerata	
177	C. michiganiana	
178	C. sp.	
179	Fragillaria crotonensis	
180	F. intermedia	
181	F. sp.	
182	Nitzschia sp.	
183	Gyrosigma sp.	
184	Gomphonema sp.	
185	Synedra nana	
186	S. ulna	
187	Diatoma sp.	
188	Mallamonas hamata	
189	M. acaroides	
190	M. hindonii	
191	M. akrokomos	
192	M. sp.	
193	Dinobryon bavaricum	
194	D. divergens	
195	D. sertularia	
196	D. sp.	
197	Diceras sp.	
198	Chrysocapsa planktonica	
199	Chrysosphaerella longispina	
200	Synura uvella	
201	S. sp.	
202	Uroglenopsis americana	
203	Keriphyron sp.	
204	Merismopedia tenuissima	
205	M. punctata	
206	Chroococcus limneticus	
207	C. sp.	
208	Aphanothece sp.	
209	Anabaena sp.	
210	A. flos-aquae	
211	Coelosphaerium sp.	
212	C. pallidum	
213	Aphanocapsa sp.	
214	Lyngbya sp.	
215	Rhabdoderma lineare	
216	R. gorksii	
217	R. sp.	
218	Anacystis incerta	
219	Microsystis sp.	
220	benthic detritus	
221	periphyton	
