"sp_taxon_1";"sp_taxon_2";"value";"type"
"zooplankton";"phytoplankton";"1";"herbivory"
"detritus feeders";"detritus";"1";"predation"
"algal feeders";"benthic algae";"1";"herbivory"
"small midwater plankton feeders";"zooplankton";"1";"predation"
"corals";"zooplankton";"1";"predation"
"omnivores";"detritus";"1";"predation"
"omnivores";"benthic algae";"1";"herbivory"
"omnivores";"zooplankton";"1";"predation"
"omnivores";"detritus feeders";"1";"predation"
"omnivores";"algal feeders";"1";"predation"
"omnivores";"corals";"1";"predation"
"omnivores";"small benthic carnivores";"1";"predation"
"small benthic carnivores";"detritus feeders";"1";"predation"
"small benthic carnivores";"algal feeders";"1";"predation"
"large midwater carnivores";"small midwater plankton feeders";"1";"predation"
"coral feeders";"corals";"1";"predation"
"large benthic carnivores";"omnivores";"1";"predation"
"large benthic carnivores";"small benthic carnivores";"1";"predation"
"transient carnivores";"small midwater plankton feeders";"1";"predation"
"transient carnivores";"omnivores";"1";"predation"
"transient carnivores";"small benthic carnivores";"1";"predation"
"transient carnivores";"large midwater carnivores";"1";"predation"
"transient carnivores";"large benthic carnivores";"1";"predation"
