"original_name";"name_clear"
"zooplankton";"Zooplankton"
"detritus feeders";"Detritus feeders"
"algal feeders";"Algal feeders"
"small midwater plankton feeders";"Small midwater plankton feeders"
"corals";"Anthozoa"
"omnivores";"Omnivores"
"small benthic carnivores";"Small benthic carnivores"
"large midwater carnivores";"Large midwater carnivores"
"coral feeders";"Coral feeders"
"large benthic carnivores";"Animalia"
"transient carnivores";"Carnivora"
"phytoplankton";"Phytoplankton"
"detritus";"Detritus"
"benthic algae";"Algae"
