"original_name";"name_clear"
"Euphausia similis";"Euphausia similis"
"E. pacifica";"Euphausia pacifica"
"Calanus pacificus";"Calanus pacificus"
"Paracalanus parvus";"Paracalanus parvus"
"Sagitta nagae";"Sagitta nagae"
"Sergia lucens";"Sergia lucens"
"Parathemisto gracilis";"Parathemisto gracilis"
"Engraulis japonica (post-larva)";"Engraulis japonica"
"Diaphus coeruleus";"Diaphus coeruleus"
"D. elucens";"Diaphus elucens"
"other myctophids";"Myctophidae"
"Trachiurus japonica (adult)";"Trachiurus japonica"
"Engraulis japonica (adult)";"Engraulis japonica"
"Todarodes pacificus";"Todarodes pacificus"
"other cephalopods";"Cephalopoda"
"Scomber japonicus (adult)";"Scomber japonicus"
"Stenella spp.";"Stenella"
"man";"Homo sapiens"
"detritus";"Detritus"
"phytoplankton";"Phytoplankton"
