"Hogetsu, K. (1979). Biological productivity of some coastal regions of Japan. In: M.J. Dunbar, (ed), Marine Production Mechanisms, (IBP, Cambridge University Press, Cambridge, England), pp. 71-87.",,,,,,,,,,,,,,
Suruga Bay - epipelagic zone - Japan,Euphausia similis - E. pacifica,Calanus pacificus,Paracalanus parvus,Sagitta nagae,Sergia lucens,Parathemisto gracilis,Engraulis japonica (post-larva),Diaphus coeruleus - D. elucens - other myctophids,Trachiurus japonica (adult),Engraulis japonica (adult),Todarodes pacificus - other cephalopods,Scomber japonicus (adult),Stenella spp.,man
detritus,1,1,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Euphausia similis - E. pacifica,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Calanus pacificus,0,0,0,1,1,1,1,0,1,0,0,0,0,0
Paracalanus parvus,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Sagitta nagae,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sergia lucens,0,0,0,0,0,0,0,1,1,0,1,1,0,1
Parathemisto gracilis,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Engraulis japonica (post-larva),0,0,0,0,0,0,0,0,1,1,1,1,0,1
Diaphus coeruleus - D. elucens - other myctophids,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Trachiurus japonica (adult),0,0,0,0,0,0,0,0,0,0,0,0,0,1
Engraulis japonica (adult),0,0,0,0,0,0,0,0,0,0,0,1,0,1
Todarodes pacificus - other cephalopods,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scomber japonicus (adult),0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stenella spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1
