"name";"bold";"eol";"tsn";"ncbi"
"Terrestrial invertebrates";NA;NA;NA;NA
"Intertidal invertebrates";NA;NA;NA;NA
"Marine invertebrates";NA;NA;NA;NA
"Fishes";NA;NA;95599;7878
"Sorex";3032;6984339;179928;9379
"Herons";NA;NA;174771;8899
"Rallus";3288;5730650;113088;54360
"Anas";3235;10254288;5914;8835
"Migrant Bucephala albeola";NA;NA;NA;NA
"Waterfowl";NA;NA;174982;8830
"Passerines";NA;NA;NA;NA
"Microtus";6899;7245360;180300;10053
"Reithrodontomys";73424;7312617;180344;44233
"Mus";6916;12091880;856;10088
"Rattus";3156;12221616;135059;10114
"Circus";4452;11145902;175433;8963
"Asio";4888;10197460;6396;56266
