"sp_taxon_1";"sp_taxon_2";"value"
"Aechmea cylindrata";"Bombus brasiliensis";"1"
"Vriesea altodaserrae";"Amazilia versicolor";"1"
"Wittrochia cyathiformis";"Amazilia versicolor";"1"
"Vriesea altodaserrae";"Anthracothorax nigricollis";"1"
"Vriesea altodaserrae";"Clytolaema rubricauda";"1"
"Vriesea altodaserrae";"Leucochloris albicollis";"1"
"Wittrochia cyathiformis";"Leucochloris albicollis";"1"
"Vriesea altodaserrae";"Lophornis magnificus";"1"
"Nidularium campo-alegrensis";"Phaethornis eurynome";"1"
"Vriesea altodaserrae";"Phaethornis eurynome";"1"
"Vriesea guttata";"Phaethornis eurynome";"1"
"Vriesea heterostachys";"Phaethornis eurynome";"1"
"Wittrochia cyathiformis";"Phaethornis eurynome";"1"
"Vriesea altodaserrae";"Thalurania glaucopis";"1"
"Wittrochia cyathiformis";"Thalurania glaucopis";"1"
"Vriesea hoehneana";"Anoura caudifer";"1"
"Vriesea platynema";"Anoura caudifer";"1"
"Vriesea platynema";"Anoura geoffroyi";"1"
"Vriesea hoehneana";"Pygoderma bilabiatum";"1"
"Vriesea platynema";"Pygoderma bilabiatum";"1"
