"name";"bold";"eol";"tsn";"ncbi"
"Bombus brasiliensis";"156040";"52193943";"714878";"203807"
"Amazilia versicolor";"212232";"57445931";"693642";"472775"
"Anthracothorax nigricollis";"66158";"61830298";"555078";"118180"
"Clytolaema rubricauda";"95442";"61830540";"555197";"1109033"
"Leucochloris albicollis";"95444";"60996316";"555142";"1507470"
"Lophornis magnificus";"114891";"52647527";"555089";"1798942"
"Phaethornis eurynome";"89090";"46573544";NA;"190666"
"Thalurania glaucopis";"89066";"61830355";"555126";"555357"
"Anoura caudifer";"47591";"51374718";"632270";"27642"
"Anoura geoffroyi";"34993";"60919577";NA;"148021"
"Aechmea cylindrata";NA;"53003598";NA;"713989"
"Vriesea altodaserrae";NA;"53004075";NA;NA
"Wittrochia cyathiformis";NA;NA;NA;NA
"Nidularium campo-alegrensis";NA;"53003489";NA;NA
"Vriesea guttata";NA;"53004192";NA;"2086508"
"Vriesea heterostachys";"554559";"53004200";NA;"1093666"
"Vriesea hoehneana";NA;"53004204";NA;NA
"Vriesea platynema";"554562";"53004311";NA;"1093669"
