"original_name";"name_clear"
"Bombus brasiliensis";"Bombus brasiliensis"
"Amazilia versicolor";"Amazilia versicolor"
"Anthracothorax nigricollis";"Anthracothorax nigricollis"
"Clytolaema rubricauda";"Clytolaema rubricauda"
"Leucochloris albicollis";"Leucochloris albicollis"
"Lophornis magnificus";"Lophornis magnificus"
"Phaethornis eurynome";"Phaethornis eurynome"
"Thalurania glaucopis";"Thalurania glaucopis"
"Anoura caudifer";"Anoura caudifer"
"Anoura geoffroyi";"Anoura geoffroyi"
"Pygoderma bilabiatum";"Pygoderma bilabiatum"
"Aechmea cylindrata";"Aechmea cylindrata"
"Vriesea altodaserrae";"Vriesea altodaserrae"
"Wittrochia cyathiformis";"Wittrochia cyathiformis"
"Nidularium campo-alegrensis";"Nidularium campo-alegrensis"
"Vriesea guttata";"Vriesea guttata"
"Vriesea heterostachys";"Vriesea heterostachys"
"Vriesea hoehneana";"Vriesea hoehneana"
"Vriesea platynema";"Vriesea platynema"
