"name";"bold";"eol";"tsn";"ncbi"
"Anaspis funagata ";NA;NA;NA;NA
"Bombus beaticola ";NA;"51183759";NA;"130682"
"Bombus honshuensis";"32084";"52193987";"714922";"130696"
"Bombus consobrinus ";NA;"51183798";NA;"130686"
"Bombus hypocrita";"32100";"52193992";"714927";"130701"
"Eusphalerum parallelum ";NA;NA;NA;NA
"Lasioglossum apristum";"19362";"46485664";"757994";"88502"
"Meligethes morosus ";NA;NA;NA;"1553818"
"Oedemeronia subrobusta ";NA;NA;NA;NA
"Bombus diversus";"32097";"52193961";"714896";"130691"
"Byturus affinis ";NA;NA;NA;"153019"
"Meliscaeva cinctella";"199604";"55737941";"140141";"414834"
"Bombus ardens";"30698";"55789753";"714860";"130678"
"Cheilosia";"7866";"51153079";"140425";"173981"
"Dolichovespula norvegicoides ";NA;"52152972";NA;"520232"
"Lasioglossum laeviventre ";NA;"52182481";NA;NA
"Platycheirus scutatus";"374014";"46445525";"139831";"1124539"
"Parnara guttata ";NA;NA;NA;"218706"
"Melanostoma transversum ";NA;"51994027";NA;NA
"Pidonia grallatrix ";NA;"51638161";NA;NA
"Pidonia insuturata ";NA;"51638197";NA;NA
"Syrphus vitripennis ";NA;"55738005";NA;"224256"
"Cheilosia motodomariensis ";NA;"51990284";NA;"1650727"
"Pidonia testacea ";NA;"51638193";NA;NA
"Chrysarthia viatica ";NA;NA;NA;NA
"Empis flavofasalis ";NA;NA;NA;NA
"Pidonia oyamae ";NA;"51638178";NA;NA
"Epuraea fergeri ";NA;NA;NA;NA
"Syrphus ribessii ";NA;NA;NA;NA
"Lasioglossum nipponense ";NA;"52182704";NA;NA
"Pseudalosterna misella ";NA;NA;NA;NA
"Rhogogaster varipes";NA;NA;NA;NA
"Lasioglossum problematicum";"155804";"52182918";"759107";NA
"Pachytodes cometes ";NA;"51668070";NA;"1423373"
"Bornbus consobrinus ";NA;NA;NA;NA
"Lasioglossum atroglaucum ";NA;"52181842";NA;NA
"Melanostoma scalare";"30772";"51994047";NA;"92598"
"Tachina jakovlevi ";NA;"52000865";NA;NA
"Dolichovespula adulterina ";NA;NA;NA;"1667497"
"Leptura arcuata ";NA;NA;NA;"184452"
"Epuraea";"167569";"55680487";"835575";"295922"
"Lasioglossum albipes";"21755";"46485599";"757929";"88501"
"Zophoessa callipteris ";NA;NA;NA;"1405321"
"Byturus";"310194";"51133360";NA;"153016"
"Corymbia variicornis ";NA;NA;NA;NA
"Metasyrphus ferquens ";NA;NA;NA;NA
"Nakanea vicaria ";NA;"51673986";NA;NA
"Platycheirus";"6478";"51152849";"139720";"192444"
"Adelphocoris rubripes ";NA;NA;NA;NA
"Anastrangalis acotodes ";NA;NA;NA;NA
"Anthocharis cardamines ";NA;"51223505";NA;"227532"
"Byturus ohtai ";NA;NA;NA;NA
"Calliphora";"5775";"51157776";"151547";"7372"
"Curculio convexus ";NA;"51765504";NA;"869759"
"Dexopollenia flava ";NA;NA;NA;NA
"Ectinohoplia obducta ";NA;"51696081";NA;NA
"Inachis io";"26841";NA;NA;"171585"
"Oligoneura itoi ";NA;"51981987";NA;NA
"Onesia";"171138";"51856035";"84700";"145449"
"Panorpodes paradoxa ";NA;NA;NA;NA
"Sphaerophoria meuthastri ";NA;NA;NA;NA
"Alcis angulifera ";NA;"52324662";NA;"393317"
"Andrena lapponica";"214073";"52195338";"752566";"1542560"
"Colias erate ";NA;"51223977";NA;"72852"
"Conops flavipes";"271457";"51898360";NA;"1219153"
"Corymbia succedanea ";NA;NA;NA;NA
"Helophilus virgatus ";NA;NA;NA;"1254969"
"Hoplia communis ";NA;"51695958";NA;NA
"Metasyrphus luniger ";NA;NA;NA;NA
"Papilio machaon";"17567";"46423984";"778413";"76193"
"Speyeria aglaja ";NA;NA;NA;"405010"
"Syngrapha ain ";NA;"52365831";NA;"254423"
"Xanthothyxus mongol ";NA;NA;NA;NA
"Andrena togashii ";NA;"52195794";NA;"444417"
"Anoploderomorpha excavata ";NA;"51648921";NA;NA
"Balatala gracilis ";NA;NA;NA;NA
"Corennys sericata ";NA;"51651217";NA;"63505"
"Crossocerus";"192971";NA;"1021740";"421294"
"Cryptocephalus approximatus ";NA;NA;NA;NA
"Dasysyrphus bilineatus ";NA;"51990434";NA;"1124509"
"Didea alneti ";NA;"46445598";NA;NA
"Diglyphus minoeus ";NA;"52140259";NA;"327395"
"Eristalis cerealis ";NA;"51992281";NA;"362906"
"Hoplia moerens";NA;"51695730";NA;NA
"Lasioglossum";"2135";"51185173";"757881";"88467"
"Lupesus moorii ";NA;NA;NA;NA
"Meliscaeva omogensis ";NA;"51991279";NA;NA
"Mesembrina resplendens ";NA;"51940371";NA;"1643978"
"Micadocantharis japonicus ";NA;NA;NA;NA
"Mordellistena";"312688";"46392599";"723015";"433127"
"Parastrangalis nymphula ";NA;"51641957";NA;"687520"
"Phytomia zonata ";NA;"51995420";NA;NA
"Pidonia aegrota ";NA;"51638185";NA;NA
"Pidonia masakii ";NA;"51638177";NA;NA
"Pidonia puziloi ";NA;"51638166";NA;NA
"Pidonia signata ";NA;"51638238";NA;NA
"Pidonia signifera ";NA;"51638184";NA;NA
"Platycheirus ambiguus ";NA;NA;NA;NA
"Syrphus";"6468";"55737873";"139958";"224255"
"Tachina politula ";NA;"52000872";NA;NA
"Vespula schrenckii ";NA;NA;NA;NA
"Vollucella jeddona ";NA;NA;NA;NA
"Vollucella pellucens ";NA;NA;NA;NA
"Alphostrombocerus komowi ";NA;NA;NA;NA
"Anaria funebris ";NA;NA;NA;NA
"Andrena aburana ";NA;"52194869";NA;NA
"Andrena brenihirtiscopa ";NA;NA;NA;NA
"Andrena longitibialis";NA;"52195373";"752602";NA
"Andrena parathoracina ";NA;NA;NA;NA
"Andrena yamato ";NA;"46490550";NA;"444439"
"Anthaxia reticulata ";NA;NA;NA;NA
"Antherophagus nigricornis ";NA;NA;NA;"433189"
"Argynnis paphia ";NA;"52255729";NA;"171802"
"Asemum amurense ";NA;"51658732";NA;NA
"Biphyllis throscoides ";NA;NA;NA;NA
"Bornbus beaticola ";NA;NA;NA;NA
"Byturus atricollis ";NA;NA;NA;NA
"Catoptria permiaca ";NA;NA;NA;NA
"Chrysocharis";"51374";"52140968";NA;"108631"
"Cosmia variegata ";NA;NA;NA;NA
"Criorhina apicalis ";NA;"51994752";NA;NA
"Dasysyrphus tricinctus";"406844";"51990454";NA;"1244581"
"Dasytes vulgaris ";NA;NA;NA;NA
"Didea nikkoensis ";NA;NA;NA;NA
"Dioctria nakanensis ";NA;"51972212";NA;NA
"Episyrphus balteatus";"199609";"51995292";NA;"286459"
"Forficula mikado ";NA;NA;NA;"146843"
"Glyphipterix nigromarginata ";NA;"52290539";NA;NA
"Gnorimus subopacus ";NA;NA;NA;NA
"Gonepteryx aspasia ";NA;"51224065";NA;"940349"
"Harmonia axyridis ";NA;"55681677";NA;"115357"
"Hoshihananomia perlata ";NA;"60975775";NA;"1553490"
"Hylaeus paradifformis ";NA;"52186233";NA;NA
"Hylaeus thoracius ";NA;NA;NA;NA
"Ischyrosyrphus glaucius ";NA;NA;NA;"414820"
"Ischyrosyrphus laternarius ";NA;NA;NA;NA
"Lasiogfossum apristum ";NA;NA;NA;NA
"Lasiogfossum laeviventre ";NA;NA;NA;NA
"Lasiogfossum problematicum ";NA;NA;NA;NA
"Lasioglossum harmandi ";NA;"52182341";NA;NA
"Lasioglossum proximatum";"313861";"52182922";"759111";NA
"Leptura ochraceofasciata ";NA;NA;NA;NA
"Leucozona lucorum";"200872";"55737926";"140094";"414824"
"Libythea celtis ";NA;"51227484";NA;"76239"
"Ligus honshuensis ";NA;NA;NA;NA
"Macroglossum fringilla ";NA;NA;NA;"36254"
"Mallota dimorpha ";NA;NA;NA;NA
"Megachile sumizome ";NA;"52179938";NA;NA
"Megachile tsurugensis ";NA;"52180005";NA;NA
"Melitaea niphora ";NA;NA;NA;NA
"Metasyrphus";NA;"51152556";NA;"415931"
"Nemophora amurensis ";NA;"52288261";NA;NA
"Nomada issikii ";NA;"52190276";NA;NA
"Nomada";"2011";"46500872";"634258";"95295"
"Oedemeronia manicata ";NA;NA;NA;NA
"Ourapterix persica ";NA;NA;NA;NA
"Papilio xuthus ";NA;"55716293";NA;"66420"
"Papilla japonica ";NA;NA;NA;"73258"
"Parnassius gracialis ";NA;NA;NA;NA
"Phyllobius picepes ";NA;NA;NA;NA
"Pidonia semiobscura ";NA;"51638199";NA;NA
"Pidonia yokoyamai ";NA;NA;NA;NA
"Platyptilia sachalinensis ";NA;NA;NA;NA
"Podabrus malthinoides";NA;NA;NA;NA
"Psithyrus norvegicus ";NA;NA;NA;"30199"
"Psychostrophia melanorgia ";NA;NA;NA;NA
"Pyrrhata annulicornis ";NA;NA;NA;NA
"Rapala erata ";NA;NA;NA;NA
"Rhingia laevigata ";NA;"51990736";NA;NA
"Sitarea vibrissata ";NA;NA;NA;NA
"Sphaerophoria javana ";NA;NA;NA;NA
"Sphegina";"7888";"55738409";"141157";"226166"
"Stigmus";"311754";"46503203";"152906";"253833"
"Strongylogaster";"81898";"57366518";NA;"46454"
"Tachina luteola ";NA;NA;NA;"1310322"
"Tenthredo basizonata ";NA;NA;NA;NA
"Tenthredo japonica ";NA;NA;NA;"73258"
"Vanessa indica ";NA;"51226722";NA;"270463"
"Vespa simillima";"508400";"51179397";NA;"445438"
"Vespula austriaca ";NA;"52153201";NA;"1667569"
"Videa alneti ";NA;NA;NA;NA
"Astilbe thunbergii";"438290";"57220631";NA;"657408"
"Reynoutria japonica";"754494";NA;NA;"488216"
"Rodgersia podophylla";"438234";"52808680";NA;"262050"
"Cimicifuga simplex";NA;"53000022";"1061795";"64042"
"Veratrum album oxysepalum";NA;NA;NA;NA
"Pyrola alpina";"622646";"50870503";NA;"642524"
"Philadelphus satsumi";"448572";"57222148";NA;"1403175"
"Lychnis gracillima";NA;NA;NA;NA
"Serratula coronata insularis";NA;NA;NA;NA
"Veronicastrum sibiricum japonicum";NA;NA;NA;NA
"Geranium eriostemon ";NA;NA;NA;"68541"
"Filipendula multifuga";NA;NA;NA;NA
"Cirsium effusum";NA;NA;NA;NA
"Iris sanguinea";"367500";"53078430";"503202";"198824"
"Lonicera alpigena ";NA;"61366654";NA;"486660"
"Elaeagnus montana";"485614";NA;NA;"441235"
"Ligularia dentata";"421252";"61371791";"780423";"217501"
"Rubus pungens ";NA;"52815426";NA;"321608"
"Cacalia adenostyloides";NA;NA;NA;NA
"Chamaenerion angustifolium";NA;NA;NA;"13055"
"Enkianthus campanulatus";"425246";"61356843";NA;"13508"
"Polygonatum lasianthum";"558319";"53043357";NA;"261413"
"Pedicularis resupinata ";NA;"52902097";NA;"65043"
"Cacalia hastata farfaraefolia";NA;NA;NA;NA
"Campanula punctata ";NA;"61366887";NA;"82282"
"Clinopodium chinense grandiflorum";NA;NA;NA;NA
"Patrinia triloba palmata";NA;NA;NA;NA
"Rubus idaeus f marmoratus";NA;NA;NA;NA
"Menziesia pentandra";"443809";"50871685";NA;"187153"
"Scabiosa japonica";NA;"50878086";NA;"183573"
"Ranunculus japonicus";"436011";"57210756";NA;"286919"
"Trollius hondoensis";"445851";"50857418";NA;"270098"
"Libanotis coreana";NA;"52913757";NA;"49550"
"Solidago virgaurea asiatica";NA;NA;NA;NA
"Anaphalis margaritacea";"121621";"50878762";"36529";"49045"
"Eupatorium chinense sachalinense";NA;NA;NA;NA
"Senecio cannabifolius";NA;NA;NA;"189232"
"Malus sieboldii";"403728";"50920570";"503677";"106566"
"Aster ageratoides ovatus";NA;NA;NA;"666060"
"Arabis lyrata kamtschatica";"765264";NA;NA;NA
"Senecio nemorensis";"421601";"57236755";NA;"189242"
"Aster ageratoides amplexifolius";NA;NA;NA;NA
"Dianthus superbus longicalycinus";NA;NA;NA;NA
"Polemonium caeruleum yezoense";NA;NA;NA;NA
"Pyrola incarnata";"622635";NA;NA;"642531"
"Rhododendron wadanum";"443801";"50871232";NA;"49472"
"Hosta sieboldiana";NA;"50855315";NA;"708432"
"Aconitum japonicum montanum";NA;NA;NA;NA
"Aconitum senanense";NA;"50857856";NA;"50881"
"Aquilegia buergeriana";"556640";"50857159";NA;"1277885"
"Synurus pungens";NA;"52960840";NA;NA
"Meehania urticifolia";"630876";"52900437";NA;"672825"
"Prunus nipponica";NA;"52830343";NA;"137737"
"Viburnum furcatum";"441982";"50878271";NA;"237940"
"Oxalis acetosella";"291870";NA;NA;"341461"
"Acer shirasawanum";"485602";"57300151";NA;"66216"
"Cynanchum ascyrifolium";NA;NA;NA;"2029230"
"Sorbus commixta";"407017";"57279128";"836435";"186521"
"Euonymus macropterus";"403600";"52990010";NA;"749924"
"Ribes maximowiczianum";"403599";NA;NA;"175215"
"Angelica pubescens";"627464";"52910614";NA;"312530"
"Hydrangea paniculata";"403743";"46170612";"24199";"52833"
"Fragaria nipponica";"557131";"52833069";NA;"101012"
"Taraxacum hondoense";NA;NA;NA;"90033"
"Potentilla freyniana";"499279";"52825546";NA;"667250"
"Picris hieracioides japonica";NA;NA;NA;"73258"
"Weigela decora";"448565";"50878054";NA;"79611"
"Polygonatum macranthum";NA;"53043352";NA;NA
"Angelica polymorpha";"616783";"52910548";NA;"76119"
"Agrostis clavata";"551766";"57189184";"564992";"649480"
"Aster glehni";NA;NA;"780212";NA
"Achillea alpina ";NA;"46179578";NA;"282718"
"Euphrasia maximowiczii";NA;"50908198";NA;"667338"
"Patrinia villosa";"420249";"52988376";NA;"183944"
"Cypripedium guttatum ";NA;"50846433";NA;"53043"
"Ixeris dentata";NA;NA;NA;"190260"
"Thalictrum filamentosum tenerum";NA;NA;NA;NA
"Pseudostellaria heterantha";"555983";"52865600";NA;"1205770"
"Viburnum opulus ";NA;"50878250";NA;"85293"
"Sedum aizoon";NA;NA;NA;"116726"
"Prunus maximowiczii";"407014";"52831374";"836515";"97306"
"Euonymus sieboldianus";"415318";NA;NA;"344450"
"Acer ukurunduense";"102197";"57300209";NA;"171221"
"Adenophora triphylla";"615502";"52920864";NA;"187269"
"Gymnadenia conopsea";"432209";"50847063";"43600";"59324"
"Rhododendron degronianum";NA;"57225284";NA;"118364"
"Viola grypoceras";"439400";"50916314";NA;"316475"
"Arabis hirsuta";"288595";"50935644";"22700";"78191"
"Veratrum maackii";"444951";"50829795";NA;"82471"
"Acer japonicum";"448667";"57300121";"837855";"47966"
