"original_name";"name_clear"
"Anaspis funagata ";"Anaspis funagata "
"Bombus beaticola ";"Bombus beaticola "
"Eristalis tenax";"Eristalis tenax"
"Bombus honshuensis";"Bombus honshuensis"
"Bombus consobrinus ";"Bombus consobrinus "
"Bombus hypocrita";"Bombus hypocrita"
"Eusphalerum parallelum ";"Eusphalerum parallelum "
"Lasioglossum apristum";"Lasioglossum apristum"
"Meligethes morosus ";"Meligethes morosus "
"Oedemeronia subrobusta ";"Oedemeronia subrobusta "
"Bombus diversus";"Bombus diversus"
"Byturus affinis ";"Byturus affinis "
"Unidentified sp22 M_PL_056";"Unidentified"
"Meliscaeva cinctella";"Meliscaeva cinctella"
"Bombus ardens";"Bombus ardens"
"Cheilosia sp3 M_PL_056";"Cheilosia"
"Dolichovespula norvegicoides ";"Dolichovespula norvegicoides "
"Lasioglossum laeviventre ";"Lasioglossum laeviventre "
"Platycheirus scutatus";"Platycheirus scutatus"
"Parnara guttata ";"Parnara guttata "
"Melanostoma transversum ";"Melanostoma transversum "
"Pidonia grallatrix ";"Pidonia grallatrix "
"Cheilosia sp8 M_PL_056";"Cheilosia"
"Pidonia insuturata ";"Pidonia insuturata "
"Syrphus vitripennis ";"Syrphus vitripennis "
"Cheilosia motodomariensis ";"Cheilosia motodomariensis "
"Unidentified sp46 M_PL_056";"Unidentified"
"Pidonia testacea ";"Pidonia testacea "
"Chrysarthia viatica ";"Chrysarthia viatica "
"Unidentified sp23 M_PL_056";"Unidentified"
"Empis flavofasalis ";"Empis flavofasalis "
"Pidonia oyamae ";"Pidonia oyamae "
"Cheilosia sp5 M_PL_056";"Cheilosia"
"Epuraea fergeri ";"Epuraea fergeri "
"Syrphus ribessii ";"Syrphus ribessii "
"Unidentified sp25 M_PL_056";"Unidentified"
"Unidentified sp35 M_PL_056";"Unidentified"
"Cheilosia sp6 M_PL_056";"Cheilosia"
"Lasioglossum nipponense ";"Lasioglossum nipponense "
"Pseudalosterna misella ";"Pseudalosterna misella "
"Rhogogaster varipes";"Rhogogaster varipes"
"Cheilosia sp1 M_PL_056";"Cheilosia"
"Didea fasciata ";"Didea fasciata "
"Lasioglossum problematicum";"Lasioglossum problematicum"
"Pachytodes cometes ";"Pachytodes cometes "
"Unidentified sp37 M_PL_056";"Unidentified"
"Bornbus consobrinus ";"Bornbus consobrinus "
"Cheilosia sp12 M_PL_056";"Cheilosia"
"Lasioglossum atroglaucum ";"Lasioglossum atroglaucum "
"Melanostoma scalare";"Melanostoma scalare"
"Tachina jakovlevi ";"Tachina jakovlevi "
"Unidentified sp54 M_PL_056";"Unidentified"
"Unidentified sp84 M_PL_056";"Unidentified"
"Dolichovespula adulterina ";"Dolichovespula adulterina "
"Leptura arcuata ";"Leptura arcuata "
"Epuraea sp1 M_PL_056";"Epuraea"
"Lasioglossum albipes";"Lasioglossum albipes"
"Zophoessa callipteris ";"Zophoessa callipteris "
"Byturus sp1 M_PL_056";"Byturus"
"Cheilosia sp14 M_PL_056";"Cheilosia"
"Cheilosia sp16 M_PL_056";"Cheilosia"
"Corymbia variicornis ";"Corymbia variicornis "
"Metasyrphus ferquens ";"Metasyrphus ferquens "
"Nakanea vicaria ";"Nakanea vicaria "
"Platycheirus sp1 M_PL_056";"Platycheirus"
"Unidentified sp59 M_PL_056";"Unidentified"
"Unidentified sp73 M_PL_056";"Unidentified"
"Unidentified sp93 M_PL_056";"Unidentified"
"Adelphocoris rubripes ";"Adelphocoris rubripes "
"Anastrangalis acotodes ";"Anastrangalis acotodes "
"Anthocharis cardamines ";"Anthocharis cardamines "
"Byturus ohtai ";"Byturus ohtai "
"Calliphora sp1 M_PL_056";"Calliphora"
"Curculio convexus ";"Curculio convexus "
"Dexopollenia flava ";"Dexopollenia flava "
"Ectinohoplia obducta ";"Ectinohoplia obducta "
"Inachis io";"Inachis io"
"Oligoneura itoi ";"Oligoneura itoi "
"Onesia sp1 M_PL_056";"Onesia"
"Panorpodes paradoxa ";"Panorpodes paradoxa "
"Sphaerophoria meuthastri ";"Sphaerophoria meuthastri "
"Unidentified sp118 M_PL_056";"Unidentified"
"Unidentified sp77 M_PL_056";"Unidentified"
"Unidentified sp87 M_PL_056";"Unidentified"
"Alcis angulifera ";"Alcis angulifera "
"Andrena lapponica";"Andrena lapponica"
