"original_name";"name_clear"
"copepods";"Copepods"
"Orchomonopsis";"Orchomonopsis"
"bottom notothenids";"Bottom notothenids"
"fry of Trematomus";"Fry"
"phytoplankton filter feeders";"Phytoplankton filter feeders"
"Euphasia superba";"Euphasia superba"
"E. crystallorophias";"Euphasia crystallorophias"
"benthic filter feeding invertebrates";"Benthic filter feeding invertebrates"
"Trematomus borchgrevinki";"Trematomus borchgrevinki"
"Pleurogramma antarctica";"Pleurogramma antarctica"
"predatory planktonic invertebrates";"Predatory planktonic invertebrates"
"predatory cephalopods";"Cephalopoda"
"whales";"Whales"
"crabeater seals";"Crabeater seals"
"penguins";"Penguins"
"petrels";"Petrels"
"pycnogonids";"Pycnogonids"
"polychaetes";"Polychaetes"
"Glyptonotus";"Glyptonotus"
"Lineus";"Lineus"
"Odonaster";"Odonaster"
"predatory fishes";"Pisces"
"Weddel seals";"Leptonychotes weddellii"
"toothed whales";"Odontoceti"
"leopard seals";"Hydrurga leptonyx"
"predatory benthic fishes";"Pisces"
"epontic microalgae";"Algae"
"planktonic microalgae";"Planktonic microalgae"
"detritus";"Detritus"
