"sp_taxon_1";"sp_taxon_2";"value"
"Vriesea altodaserrae";"Amazilia versicolor";"2"
"Fuchsia regia";"Clytolaema rubricauda";"308"
"Inga sp";"Clytolaema rubricauda";"210"
"Nematanthus australis";"Clytolaema rubricauda";"3"
"Spirotheca rivieri";"Clytolaema rubricauda";"255"
"Vriesea altodaserrae";"Clytolaema rubricauda";"3"
"Aegiphila obducta";"Phaethornis eurynome";"20"
"Justicia carnea";"Phaethornis eurynome";"6"
"Nidularium innocentii";"Phaethornis eurynome";"2"
"Vriesea incurvata";"Phaethornis eurynome";"5"
"Aegiphila obducta";"Thalurania glaucopis";"29"
"Fuchsia regia";"Thalurania glaucopis";"158"
"Heliconia farinosa";"Thalurania glaucopis";"3"
"Inga sp";"Thalurania glaucopis";"24"
"Nematanthus australis";"Thalurania glaucopis";"5"
"Spirotheca rivieri";"Thalurania glaucopis";"6"
