"name";"bold";"eol";"tsn";"ncbi"
"Acartia";5763;6262349;86088;121148
"Other copepods";NA;NA;NA;NA
"Porifera";24818;7899722;129149;6040
"Benthic macrofauna";NA;NA;NA;NA
"Beroe";381310;12140131;53957;10199
"Fish";NA;NA;19763;7878
"Ethmidium maculatum";66211;6985845;551294;691795
"Crabs";NA;NA;97919;NA
"Lobsters";NA;NA;97683;6693
"Scatophagidae";588;12237083;181221;30869
"Pomatomus saltatrix";18117;7227147;168559;75034
"Demersal species";NA;NA;NA;NA
"Asteroidea";30;11145341;NA;7588
"Flagellates";NA;NA;NA;NA
"Macroalgae";NA;NA;NA;NA
"Eelgrass";NA;NA;39074;NA
