"Kremer, J.N., and Nixon, S.W. (1978). A Coastal Marine Ecosystem: Simulation and Analysis, Vol. 24 of Ecol. Studies (Springer-Verlag, Berlin).",,,,,,,,,,,,,,,,,
Narragansett Bay - Rhode Island,Acartia - other copepods,sponges,benthic macrofauna,clams,ctenophores,meroplankton - fish larvae,Pacific menhaden,bivalves,crabs - lobsters,butterfish,striped bass,bluefish,mackerel,demersal species,starfish,flounder,man
flagellates - diatoms,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
particulate detritus,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
macroalgae - eelgrass,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acartia - other copepods,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
sponges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
benthic macrofauna,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
clams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ctenophores,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pacific menhaden,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
bivalves,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
crabs - lobsters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
striped bass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
demersal species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
flounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
