"sp_taxon_1";"sp_taxon_2";"value";"type"
"E. superba";"Diatoms";18;"herbivory"
"E. superba";"Dinoflaggelates";3;"herbivory"
"E. superba";"Radiolarians";1;"predation"
"E. superba";"Tintinnids";15;"predation"
"E. superba";"Oithona";1;"predation"
"E. superba";"Other copepods";1;"predation"
"E. superba";"Euphausiids";1;"predation"
"E. superba";"Pelagobia";3;"predation"
"C.lucasii";"Siphonophores";12;"predation"
"C.lucasii";"Pelagobia";1;"predation"
"C.lucasii";"Salpa";8;"predation"
"C.lucasii";"Gelatinous tunicates";1;"predation"
"S. gazellae (30-60mm)";"Calanidae";1;"predation"
"S. gazellae (30-60mm)";"Metridia";1;"predation"
"S. gazellae (30-60mm)";"Euphausia";1;"predation"
"S. gazellae (30-60mm)";"Thysanoessa";1;"predation"
"S. gazellae (30-60mm)";"Euphausiids";1;"predation"
"S. gazellae (60-90mm)";"Euphausia";4;"predation"
"S. gazellae (60-90mm)";"Thysanoessa";2;"predation"
"S. gazellae (60-90mm)";"Euphausiids";4;"predation"
"S. gazellae (60-90mm)";"Chaetognaths";1;"predation"
"S. thompsoni";"Diatoms";15;"herbivory"
"S. thompsoni";"Dinoflaggelates";15;"herbivory"
"S. thompsoni";"Silicoflagellates";11;"herbivory"
"S. thompsoni";"Foraminifera";10;"predation"
"S. thompsoni";"Radiolarians";15;"predation"
"S. thompsoni";"Tintinnids";15;"predation"
"S. thompsoni";"Oithona";11;"predation"
"S. thompsoni";"Other copepods";14;"predation"
"S. thompsoni";"Copepod nauplii";12;"predation"
"S. thompsoni";"Limacina";2;"predation"
"S. thompsoni";"Others";2;"predation"
"B. picta";"Euphausiids";1;"predation"
"B. antarcticus (60-90mm)";"Oncaea";8;"predation"
"B. antarcticus (60-90mm)";"Metridia";3;"predation"
"B. antarcticus (60-90mm)";"Heterorhabdus";3;"predation"
"B. antarcticus (60-90mm)";"Other copepods";6;"predation"
"B. antarcticus (60-90mm)";"Conchoecia";5;"predation"
"B. antarcticus (60-90mm)";"Hyperids";1;"predation"
"B. antarcticus (60-90mm)";"Siphonophores";6;"predation"
"B. antarcticus (60-90mm)";"Pelagobia";4;"predation"
"B. antarcticus (60-90mm)";"Oikopleura";1;"predation"
"B. antarcticus (60-90mm)";"Gelatinous tunicates";2;"predation"
"B. antarcticus (90-120mm)";"Oncaea";11;"predation"
"B. antarcticus (90-120mm)";"Calanidae";2;"predation"
"B. antarcticus (90-120mm)";"Aetideidae";2;"predation"
"B. antarcticus (90-120mm)";"Metridia";5;"predation"
"B. antarcticus (90-120mm)";"Heterorhabdus";4;"predation"
"B. antarcticus (90-120mm)";"Other copepods";5;"predation"
"B. antarcticus (90-120mm)";"Conchoecia";12;"predation"
"B. antarcticus (90-120mm)";"Euphausid larvae";2;"predation"
"B. antarcticus (90-120mm)";"Hyperids";5;"predation"
"B. antarcticus (90-120mm)";"Siphonophores";8;"predation"
"B. antarcticus (90-120mm)";"Pelagobia";5;"predation"
"B. antarcticus (90-120mm)";"Salpa";4;"predation"
"B. antarcticus (90-120mm)";"Gelatinous tunicates";4;"predation"
"E. antarctica (30-60mm)";"Oncaea";2;"predation"
"E. antarctica (30-60mm)";"Metridia";7;"predation"
"E. antarctica (30-60mm)";"Pleuromamma";1;"predation"
"E. antarctica (30-60mm)";"Other copepods";3;"predation"
"E. antarctica (30-60mm)";"Conchoecia";15;"predation"
"E. antarctica (30-60mm)";"Euphausiids";16;"predation"
"E. antarctica (30-60mm)";"Siphonophores";2;"predation"
