"name";"bold";"eol";"tsn";"ncbi"
"Euphausia superba";8292;5810241;95514;6819
"Cyllopus lucasii";153405;6322396;656450;472272
"Sagitta gazellae";NA;7624941;158803;52898
"Salpa thompsoni";898899;8086748;655946;569448
"Brachioteuthis picta";182335;5973265;205724;NA
"Bathylagus antarcticus";59304;6590431;182852;948019
"Electrona antarctica";72305;7161130;623809;206093
"Gymnoscopelus braueri";72294;7160930;623816;948025
"Protomyctophum bolini";72297;7160858;623863;443714
"Protomyctophum tenisoni";194406;7160850;162691;NA
"Pyrrophycophyta";317010;NA;9873;NA
"Radiolaria";NA;NA;152885;NA
"Tintinnidae";NA;7640941;46743;182088
"Oithona";142597;5968863;88806;136190
"Euphausiacea";361;7884472;95496;6816
"Pelagobia";606677;12105677;65423;715979
"Siphonophorae";263623;12232085;718928;42759
"Salpa";671754;8086827;159649;569446
"Gelatinous tunicates";NA;NA;NA;NA
"Calanidae";1722;5653601;85351;6835
"Metridia";5766;5970493;85738;114066
"Euphausia";5709;12229827;95502;6818
"Thysanoessa";5711;11190538;95575;48145
"Chaetognatha";13;11167883;158650;10229
"Dictyochales";NA;12237688;1802;35685
"Foraminifera";246658;10219267;NA;29178
"Limacina";5946;5833193;76338;220646
"Others";NA;NA;NA;NA
"Oncaea";142591;11184804;88544;349674
"Heterorhabdus";2238;12245715;85916;201614
"Conchoecia";159663;6977173;84329;178839
"Hyperids";NA;NA;NA;NA
"Oikopleura";96368;5885210;159671;34763
"Aetideidae";1750;5653590;85413;201683
"Euphausid larvae";NA;NA;NA;NA
"Pleuromamma";152166;12137541;85755;148583
"Euchaeta";91749;7898036;85508;117960
"Eukrohnia";216102;7624891;158694;52636
