"sp_taxon_1";"sp_taxon_2";"value";"type"
"ciliates and small nauplii";"microflagellates and perhaps bacteria";"1";"predation"
"smaller copepods (e.g. - Pseudocalanus)";"microflagellates and perhaps bacteria";"1";"predation"
"smaller copepods (e.g. - Pseudocalanus)";"dinoflagellates";"1";"herbivory"
"smaller copepods (e.g. - Pseudocalanus)";"diatoms";"1";"herbivory"
"smaller copepods (e.g. - Pseudocalanus)";"ciliates and small nauplii";"1";"predation"
"larger copepods (e.g. - Calanus)";"dinoflagellates";"1";"herbivory"
"larger copepods (e.g. - Calanus)";"diatoms";"1";"herbivory"
"larger copepods (e.g. - Calanus)";"ciliates and small nauplii";"1";"predation"
"small invertebrate predators (e.g. - chaetognaths and ctenophores)";"ciliates and small nauplii";"1";"predation"
"larger invertebrate predators (e.g. - chaetognaths and ctenophores)";"smaller copepods (e.g. - Pseudocalanus)";"1";"predation"
"larger invertebrate predators (e.g. - chaetognaths and ctenophores)";"larger copepods (e.g. - Calanus)";"1";"predation"
"larger invertebrate predators (e.g. - chaetognaths and ctenophores)";"small invertebrate predators (e.g. - chaetognaths and ctenophores)";"1";"predation"
"pelagic fish (e.g. - herring-like fish)";"smaller copepods (e.g. - Pseudocalanus)";"1";"predation"
"pelagic fish (e.g. - herring-like fish)";"larger copepods (e.g. - Calanus)";"1";"predation"
"pelagic fish (e.g. - herring-like fish)";"larger invertebrate predators (e.g. - chaetognaths and ctenophores)";"1";"predation"
