"original_name";"name_clear"
"Herbivorous zooplankton";"Zooplankton"
"Carnivorous zooplankton";"Carnivorous zooplankton"
"Oysters";"Bivalvia"
"Polychaetes";"Polychaeta"
"Gastropods";"Gastropoda"
"Bivalves";"Bivalvia"
"Barnacles";"Cirripedia"
"Amphipods";"Amphipoda"
"Crabs";"Calappidae"
"Shrimps";"Caridea"
"Herbivorous fish";"Pisces"
"Zooplanktivorous fish";"Zooplanktivorous fish"
"Benthic feeding fish";"Pisces"
"Detritivorous fish";"Pisces"
"Piscivorous fish";"Pisces"
"Phytoplankton";"Phytoplankton"
"Detritus";"Detritus"
"Periphyton";"Periphyton"
