"original_name";"name_clear"
"protozoa";"Protozoa"
"crustacea";"Crustacea"
"Cailianassa";"Callianassa"
"shore crabs";"Grapsidae"
"Phoronopsis";"Phoronida"
"Urechis";"Urechis"
"clams";"Bivalvia"
"Lumbrinereis";"Lumbrinereis"
"Notomastus";"Notomastus"
"heron";"Ardeidae"
"Clevelandia";"Clevelandia"
"wading birds";"Sander vitreus"
"stingray";"Myliobatoidei"
"Nereis";"Nereis"
"Glycera";"Glycera"
"nemerteans";"Nemertea"
"terns";"Terns"
"shorebirds";"Shorebirds"
"cabezon";"Scorpaenichthys marmoratus"
"flounder";"Pleuronectidae"
"Cerebratulus";"Cerebratulus"
"loon";"Loon"
"cormorant";"Cormorant"
"striped bass";"Morone saxatilis"
"scoter";"Melanitta"
"gulls";"Laridae"
"man";"Homo sapiens"
"primary producers";"Primary producers"
"detritus";"Detritus"
