"sp_taxon_1";"sp_taxon_2";"value";"type"
"Euphausia superba";"phytoplankton";"1";"herbivory"
"other herbivorous plankton";"phytoplankton";"1";"herbivory"
"carnivorous plankton";"Euphausia superba";"1";"predation"
"carnivorous plankton";"other herbivorous plankton";"1";"predation"
"baleen whales";"Euphausia superba";"1";"predation"
"birds";"Euphausia superba";"1";"predation"
"birds";"other herbivorous plankton";"1";"predation"
"birds";"carnivorous plankton";"1";"predation"
"birds";"fish";"1";"predation"
"birds";"squid";"1";"predation"
"fish";"Euphausia superba";"1";"predation"
"fish";"other herbivorous plankton";"1";"predation"
"fish";"carnivorous plankton";"1";"predation"
"fish";"squid";"1";"predation"
"squid";"other herbivorous plankton";"1";"predation"
"squid";"carnivorous plankton";"1";"predation"
"squid";"fish";"1";"predation"
"crabeater seal";"Euphausia superba";"1";"predation"
"leopard seal";"birds";"1";"predation"
"leopard seal";"fish";"1";"predation"
"leopard seal";"squid";"1";"predation"
"elephant seal";"fish";"1";"predation"
"elephant seal";"squid";"1";"predation"
"smaller toothed whales";"birds";"1";"predation"
"smaller toothed whales";"squid";"1";"predation"
"smaller toothed whales";"crabeater seal";"1";"predation"
"smaller toothed whales";"leopard seal";"1";"predation"
"smaller toothed whales";"elephant seal";"1";"predation"
"sperm whale";"squid";"1";"predation"
"man";"baleen whales";"1";"predation"
"man";"elephant seal";"1";"predation"
"man";"sperm whale";"1";"predation"
