"original_name";"name_clear"
"Justicia galapagana";"Justicia galapagana"
"Tetramerium nervosum";"Tetramerium nervosum"
"Sesuvium portulacastrum";"Sesuvium portulacastrum"
"Catharanthus roseus";"Catharanthus roseus"
"Vallesia glabra";"Vallesia glabra"
"Ageratum conyzoides";"Ageratum conyzoides"
"Bidens pilosa";"Bidens pilosa"
"Darwiniothamnus tenuifolius";"Darwiniothamnus tenuifolius"
"Encelia hispida";"Encelia hispida"
"Jaegeria gracilis";"Jaegeria gracilis"
"Macraea laricifolia";"Macraea laricifolia"
"Scalesia affinis";"Scalesia affinis"
"Scalesia beurii";"Scalesia beurii"
"Scalesia helleri";"Scalesia helleri"
"Scalesia pedunculata";"Scalesia pedunculata"
"Scalesia sp.";"Scalesia"
"Sonchus oleraceus";"Sonchus oleraceus"
"Avicennia germinans";"Avicennia germinans"
"Cordia leucophlyctis";"Cordia leucophlyctis"
"Cordia lutea";"Cordia lutea"
"Cordia sp.";"Cordia"
"Tournefortia psilostachya";"Tournefortia psilostachya"
"Tournefortia rufo-sericea";"Tournefortia rufo-sericea"
"Brassica campestris";"Brassica campestris"
"Bursera graveolens";"Bursera graveolens"
"Opuntia echios";"Opuntia echios"
"Opuntia echios gig.";"Opuntia echios gig."
"Opuntia helleri";"Opuntia helleri"
"Opuntia megasperma";"Opuntia megasperma"
"Opuntia sp.";"Opuntia"
"Opuntia sp..1";"Opuntia"
"Caesalpinia pulcherrima";"Caesalpinia pulcherrima"
"Cassia occidentalis";"Cassia occidentalis"
"Cassia picta";"Cassia picta"
"Cassia sp.";"Cassia"
"Parkinsonia aculeata";"Parkinsonia aculeata"
"Canna sp.";"Canna"
"Carica papaya";"Carica papaya"
"Ipomoea linearifolia";"Ipomoea linearifolia"
"Ipomoea pes-caprae";"Ipomoea pes-caprae"
"Ipomoea sp.";"Ipomoea"
"Cucurbita pepo";"Cucurbita pepo"
"Mormordica charantia";"Mormordica charantia"
"Croton scouleri";"Croton scouleri"
"Euphorbia cyathophora";"Euphorbia cyathophora"
"Crotalaria incana";"Crotalaria incana"
"Galactea striata";"Galactea striata"
"Geoffroea spinosa";"Geoffroea spinosa"
"Piscidia carthagenesis";"Piscidia carthagenesis"
"Rhynchosia minima";"Rhynchosia minima"
"Vigna luteola";"Vigna luteola"
"Scaveola plumieri";"Scaveola plumieri"
"Persea maericana";"Persea maericana"
"Mentzelia aspera";"Mentzelia aspera"
"Cuphea racemosa";"Cuphea racemosa"
"Abelmoschus manihot";"Abelmoschus manihot"
"Abutilon depauperatum";"Abutilon depauperatum"
"Bastardia viscosa";"Bastardia viscosa"
"Gossypium barbadense";"Gossypium barbadense"
"Gossypium sp.";"Gossypium"
"Hibiscus teliaceus";"Hibiscus teliaceus"
"Malvastrum coromandelianum";"Malvastrum coromandelianum"
"Sida acuta";"Sida acuta"
"Sida paniculata";"Sida paniculata"
"Sida rhombifolia";"Sida rhombifolia"
"Sida spinosa";"Sida spinosa"
"Miconia robinsoniana";"Miconia robinsoniana"
"Acacia insulae-iacobi";"Acacia insulae-iacobi"
"Acacia macracantha";"Acacia macracantha"
"Inga edulis";"Inga edulis"
"Prosopis juliflora";"Prosopis juliflora"
"Psidium guajava";"Psidium guajava"
"Nolana galapagensis";"Nolana galapagensis"
"Bougainvillea spectabilis";"Bougainvillea spectabilis"
"Commicarpus tuberosus";"Commicarpus tuberosus"
"Cryptocarpus pyriformis";"Cryptocarpus pyriformis"
"Mirabilis jalapa";"Mirabilis jalapa"
"Passiflora foetida";"Passiflora foetida"
