,,plant_ge,Justicia,Tetramerium,Sesuvium,Catharanthus,Vallesia,Ageratum,Bidens,Darwiniothamnus,Encelia,Jaegeria,Macraea,Scalesia,Scalesia,Scalesia,Scalesia,Scalesia,Sonchus,Avicennia,Cordia,Cordia,Cordia,Tournefortia,Tournefortia,Brassica,Bursera,Opuntia,Opuntia,Opuntia,Opuntia,Opuntia,Opuntia,Caesalpinia,Cassia,Cassia,Cassia,Parkinsonia,Canna,Carica,Ipomoea,Ipomoea,Ipomoea,Cucurbita,Mormordica,Croton,Euphorbia,Crotalaria,Galactea,Geoffroea,Piscidia,Rhynchosia,Vigna,Scaveola,Persea,Mentzelia,Cuphea,Abelmoschus,Abutilon,Bastardia,Gossypium,Gossypium,Hibiscus,Malvastrum,Sida,Sida,Sida,Sida,Miconia,Acacia,Acacia,Inga,Prosopis,Psidium,Nolana,Bougainvillea,Commicarpus,Cryptocarpus,Mirabilis,Passiflora,Plumbago,Setaria,Polygonum,Portulaca,Chicocca,Coffea,Diodia,Psychotria,Cardiospermum,Bacopa,Galvezia,Galvezia,Castela,Cacabus,Capsicum,Lycopersicon,Lycopersicon,Physalis,Solanum,Waltheria,Clerodendrum,Clerodendrum,Clerodendrum,Lantana,Phyla,Stachtarpheta,Tribulus
,,plant_sp,galapagana,nervosum,portulacastrum,roseus,glabra,conyzoides,pilosa,tenuifolius,hispida,gracilis,laricifolia,affinis,beurii,helleri,pedunculata,sp.,oleraceus,germinans,leucophlyctis,lutea,sp.,psilostachya,rufo-sericea,campestris,graveolens,echios,echios gig.,helleri,megasperma,sp.,sp.,pulcherrima,occidentalis,picta,sp.,aculeata,sp.,papaya,linearifolia,pes-caprae,sp.,pepo,charantia,scouleri,cyathophora,incana,striata,spinosa,carthagenesis,minima,luteola,plumieri,maericana,aspera,racemosa,manihot,depauperatum,viscosa,barbadense,sp.,teliaceus,coromandelianum,acuta,paniculata,rhombifolia,spinosa,robinsoniana,insulae-iacobi,macracantha,edulis,juliflora,guajava,galapagensis,spectabilis,tuberosus,pyriformis,jalapa,foetida,scandens,geniculta,opelousanum,oleracea,alba,arabica,radula,rufipes,galapageium,monniera,leucantha,leucantha pubesc.,galapageia,miersii,frutescens,cheesmanii,cheesmanii minor,pubescens,americanum,ovata,molle glabr.,molle,molle var.,peducularis,sp.,cayanensis,cistoides
pol_ge,pol_sp,no.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
Agrius,cingulatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblycerus,piurae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammophorus,sp.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atteva,hysginiella,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beetles,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus,planus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla,nuda,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catterpillar,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
