"name";"bold";"eol";"tsn";"ncbi"
"Hydrobia";6126;5677886;70498;91348
"Littorina";6357;12246150;70400;31213
"Cardium";887454;6278375;80866;268263
"Nereidae";157445;NA;783390;39820
"Tadorna";52480;6523503;175058;8888
"Tringa";4492;7374058;176616;161681
"Calidris alpina";10166;8069276;176665;8919
"Calidris canutus";10172;8069282;824535;227173
"Haematopodidae";93225;11144747;176467;37576
"Phalacrocoracidae";1451;11144483;174713;9206
"Merganser";10080;5740383;175186;NA
"Carcinus";5051;10241380;96155;6758
"Somateria";3185;5723565;175158;50366
"Arenaria";NA;7835453;4744;NA
"Blennioidei";NA;7215205;171123;56717
