"original_name";"name_clear"
"Hepatica americana";"Hepatica americana"
"Erythronium umbilicatum";"Erythronium umbilicatum"
"Sangiunaria canadensis";"Sangiunaria canadensis"
"Claytonia virginica";"Claytonia virginica"
"Thalictrum thalictroides";"Thalictrum thalictroides"
"Cardamine angustata angustata";"Cardamine angustata angustata"
"Stellaria pubera";"Stellaria pubera"
"Viola papilionacea";"Viola papilionacea"
"Uvularia sessilifolia";"Uvularia sessilifolia"
"Tiarella cordifolia collina";"Tiarella cordifolia collina"
"Podophyllum peltatum";"Podophyllum peltatum"
"Trillium catesbei";"Trillium catesbei"
"Aesculus sylvatica";"Aesculus sylvatica"
"Andrena carlini";"Andrena carlini"
"Andrena nigrihirta";"Andrena nigrihirta"
"Andrena tridens";"Andrena tridens"
"Nomada sp.";"Nomada"
"Apis mellifera";"Apis mellifera"
"Bombus bimaculatus";"Bombus bimaculatus"
"Dialictus abanci";"Dialictus abanci"
"Evylaeus macoupinensis";"Evylaeus macoupinensis"
"halictid sp.";"halictid"
"Hylema platura";"Hylema platura"
"Bombylius major";"Bombylius major"
"Gonia sp.";"Gonia"
"Nomada perplexa";"Nomada perplexa"
"Xylocopa virginica";"Xylocopa virginica"
"Augochlora pura";"Augochlora pura"
"Augochorella striata";"Augochorella striata"
"Osmia conjucta";"Osmia conjucta"
"Osmia lignaria";"Osmia lignaria"
"Osmia sp.";"Osmia"
"Dialictus cressonii";"Dialictus cressonii"
"Toxomerous geminatus";"Toxomerous geminatus"
"Andrena ceanothi";"Andrena ceanothi"
"Andrena erigeniae";"Andrena erigeniae"
"Andrena imatrix";"Andrena imatrix"
"Andrena nasonii";"Andrena nasonii"
"Andrena ziziaeformis";"Andrena ziziaeformis"
"Ceratina calcarata";"Ceratina calcarata"
"Nomada pygmaea";"Nomada pygmaea"
"Platycheirus obscurus";"Platycheirus obscurus"
"Lycaenopsis argiolus";"Lycaenopsis argiolus"
"Euchlo lotta";"Euchlo lotta"
"Andrena arabis";"Andrena arabis"
"Andrena dunningi";"Andrena dunningi"
"Bombus pennsylvanicus";"Bombus pennsylvanicus"
"Lassioglossum fuscipenne";"Lassioglossum fuscipenne"
"unknown sp.";"unknown"
"Andrena personata";"Andrena personata"
"Nomada bishopii";"Nomada bishopii"
"Nomada luteola";"Nomada luteola"
"Nomada sayi";"Nomada sayi"
"Osmia atriventris";"Osmia atriventris"
"Andrena violae";"Andrena violae"
"Osmia simillima";"Osmia simillima"
"Ephemoropsis laboriosa";"Ephemoropsis laboriosa"
