"name";"bold";"eol";"tsn";"ncbi"
"Hepatica americana";"560382";NA;NA;"46980"
"Erythronium umbilicatum";"430133";"61381446";NA;"202160"
"Sangiunaria canadensis";NA;NA;NA;NA
"Thalictrum thalictroides";"436092";"46202516";"18683";"46969"
"Stellaria pubera";"420479";"46188692";"20193";"645215"
"Viola papilionacea";NA;NA;NA;NA
"Uvularia sessilifolia";"417889";"53080797";"43112";"4700"
"Trillium catesbei";NA;NA;NA;NA
"Aesculus sylvatica";"438058";"50940257";"28724";"322041"
"Andrena nigrihirta";"260673";"52194683";"654415";NA
"Bombus bimaculatus";"21502";"52193858";"714788";"309944"
"Dialictus abanci";NA;NA;NA;NA
"Evylaeus macoupinensis";NA;NA;NA;NA
"halictid";NA;"52181401";"154348";NA
"Hylema platura";NA;NA;NA;NA
"Gonia";"284406";"51158684";"16053";"179471"
"Nomada perplexa";"21866";"52189970";"694667";"601783"
"Xylocopa virginica";"21096";"46502225";"685007";"28638"
"Augochlora pura";"20494";"52183751";"754304";"115077"
"Augochorella striata";NA;NA;NA;NA
"Osmia conjucta";NA;NA;NA;NA
"Osmia";"4940";"52178125";"70848";"124287"
"Dialictus cressonii";NA;NA;NA;NA
"Toxomerous geminatus";NA;NA;NA;NA
"Andrena ceanothi";"21929";"55781446";NA;"586957"
"Andrena erigeniae";"16126";"55781512";"654273";"57996"
"Andrena imatrix";NA;NA;NA;NA
"Andrena nasonii";"21928";"55781638";"654403";"205203"
"Andrena ziziaeformis";NA;"52194864";"654595";NA
"Ceratina calcarata";"21882";"55794177";"684890";"156304"
"Nomada pygmaea";"21877";"46501107";"694677";"586928"
"Platycheirus obscurus";"202387";"55737792";"139796";"1352496"
"Lycaenopsis argiolus";NA;NA;NA;NA
"Euchlo lotta";NA;NA;NA;NA
"Andrena dunningi";"21925";"55781506";"654267";"337472"
"Lassioglossum fuscipenne";NA;NA;NA;NA
"unknown";"736030";"52686413";NA;"32644"
"Nomada bishopii";NA;NA;NA;NA
"Nomada luteola";"641264";"52189908";"694606";NA
"Andrena violae";"260682";"52194848";"654578";NA
"Osmia simillima";"17216";"46495991";"715622";"586937"
"Ephemoropsis laboriosa";NA;NA;NA;NA
