"name";"bold";"eol";"tsn";"ncbi"
"Fungi";NA;11144690;14109;4751
"Insecta";82;7920669;14895;50557
"Bivalves";NA;NA;79118;6544
"Nematodes";103773;6979902;638104;6231
"Cumaceans";NA;NA;90745;NA
"Insectae";NA;NA;NA;NA
"Gambusia affinis";10908;7431376;NA;33528
"Heterandria formosa";140411;7431314;165915;55104
"Floridichthys carpio";140667;NA;165685;30742
"Lophogobius cyprinoides";53818;7326241;171896;151731
"Blue Moon";NA;NA;NA;NA
"Juvenile of high carnivores";NA;NA;NA;NA
"Middle carnivores-a variety of Fish";NA;NA;NA;NA
"Wading birds";NA;NA;NA;NA
"Megalops";4059;6624767;89425;7931
"Sphyraena";3662;6005681;170428;13691
"Carcharhinus leucas";12773;5884619;160275;46612
"Alligator mississippiensis";27254;6017443;551771;8496
"Haliaeetus leucocephalus";10320;5877925;NA;52644
"Fecal material";NA;NA;NA;NA
"Mangrove leaves";NA;NA;NA;NA
"Benthic algae";NA;NA;NA;NA
