"original_name";"name_clear"
"Unidentified sp1";"Unidentified"
"Bombus canariensis";"Bombus canariensis"
"Anthophora alluaudi";"Anthophora alluaudi"
"Vanessa indica";"Vanessa indica"
"Apis mellifera";"Apis mellifera"
"Eristalis tenax";"Eristalis tenax"
"Macroglossum stellatarum";"Macroglossum stellatarum"
"Artogeia rapae";"Artogeia rapae"
"Cyclyrius webbianus";"Cyclyrius webbianus"
"Tachina canariensis";"Tachina canariensis"
"Gonepteryx cleopatra";"Gonepteryx cleopatra"
"Lasioglossum chalcodes";"Lasioglossum chalcodes"
"Lasioglossum loetum";"Lasioglossum loetum"
"Lycaena phlaeas";"Lycaena phlaeas"
"Maniola jurtina";"Maniola jurtina"
"Pararge xiphioides";"Pararge xiphioides"
"Pontia daplidice";"Pontia daplidice"
"Thyreus histrionicus";"Thyreus histrionicus"
"Anaspis proteus";"Anaspis proteus"
"Attalus sp1";"Attalus"
"Bruchidius wollastoni";"Bruchidius wollastoni"
"Delia platura";"Delia platura"
"Empis sp1";"Empis"
"Halictus sp1";"Halictus"
"Meliscaeva auricollis";"Meliscaeva auricollis"
"Pandoriana pandora";"Pandoriana pandora"
"Acmaeodera cisti";"Acmaeodera cisti"
"Andrena sp1";"Andrena"
"Aricia cramera";"Aricia cramera"
"Bibio elmoi";"Bibio elmoi"
"Brachypterus sp1";"Brachypterus"
"Chrysotoxum triarcuatum";"Chrysotoxum triarcuatum"
"Cleora fortunata";"Cleora fortunata"
"Colias crocea";"Colias crocea"
"Cornutiplusia circumflexa";"Cornutiplusia circumflexa"
"Dasyphora albofasciata";"Dasyphora albofasciata"
"Drosophila sp1";"Drosophila"
"Heringia adpropinquans";"Heringia adpropinquans"
"Lampides boeticus";"Lampides boeticus"
"Mordella israelsoni";"Mordella israelsoni"
"Myotropa florea";"Myotropa florea"
"Piezodorus punctipes";"Piezodorus punctipes"
"Podalonia tydei";"Podalonia tydei"
"Pseudogonia fasciata";"Pseudogonia fasciata"
"Sapromyza sp1";"Sapromyza"
"Siphona sp1";"Siphona"
"Sphecodes marginatus";"Sphecodes marginatus"
"Sphecodes ruficrus";"Sphecodes ruficrus"
"Thaumatomyia notata";"Thaumatomyia notata"
"Tricimba humeralis";"Tricimba humeralis"
"Unidentified sp2";"Unidentified"
"Unidentified sp3";"Unidentified"
"Unidentified sp4";"Unidentified"
"Vanessa atalanta";"Vanessa atalanta"
"Vanessa cardui";"Vanessa cardui"
"Cedronella canariensis";"Cedronella canariensis"
"Galactites tomentosa";"Galactites tomentosa"
"Anacyclus radiatus";"Anacyclus radiatus"
"Andryala pinnatifida";"Andryala pinnatifida"
"Geranium canariense";"Geranium canariense"
"Laurus azorica";"Laurus azorica"
"Senecio steetzii";"Senecio steetzii"
"Sonchus cf. ortunoi";"Sonchus cf. ortunoi"
"Echium plantagineum";"Echium plantagineum"
"Cistus monspeliensis";"Cistus monspeliensis"
"Ilex canarienis";"Ilex canarienis"
"Leontodon taraxacoides";"Leontodon taraxacoides"
"Picconia excelsa";"Picconia excelsa"
"Ranunculus cortusaefolius";"Ranunculus cortusaefolius"
"Viola riviniana";"Viola riviniana"
"Rhamnus glandulosa";"Rhamnus glandulosa"
"Adenocarpus foliosus";"Adenocarpus foliosus"
"Sonchus tenerrimus";"Sonchus tenerrimus"
"Aichryson laxum";"Aichryson laxum"
"Appolonias barbujana";"Appolonias barbujana"
"Carduus tenuiflorus";"Carduus tenuiflorus"
"Hypericum grandifolium";"Hypericum grandifolium"
"Raphanus raphanistrum";"Raphanus raphanistrum"
"Geranium robertianum";"Geranium robertianum"
"Silene gallica";"Silene gallica"
"Erica arborea";"Erica arborea"
"Ageretina adenophora";"Ageretina adenophora"
"Argyranthemum broussonetti";"Argyranthemum broussonetti"
"Psoralia bituminosa";"Psoralia bituminosa"
