"sp_taxon_1";"sp_taxon_2";"value";"type"
"euphausiids";"coccolithophores";"1";"herbivory"
"euphausiids";"dinoflagellates";"1";"herbivory"
"euphausiids";"copepods";"1";"predation"
"copepods";"coccolithophores";"1";"herbivory"
"copepods";"dinoflagellates";"1";"herbivory"
"shrimps";"coccolithophores";"1";"herbivory"
"shrimps";"dinoflagellates";"1";"herbivory"
"shrimps";"copepods";"1";"predation"
"vertically migrating mesopelagic fishes";"euphausiids";"1";"predation"
"vertically migrating mesopelagic fishes";"copepods";"1";"predation"
"flying fishes";"euphausiids";"1";"predation"
"flying fishes";"copepods";"1";"predation"
"flying fishes";"hyperiid amphipods";"1";"predation"
"hyperiid amphipods";"copepods";"1";"predation"
"lanternfish";"copepods";"1";"predation"
"lanternfish";"hyperiid amphipods";"1";"predation"
"ocean sunfish";"copepods";"1";"predation"
"other mesopelagic fishes";"euphausiids";"1";"predation"
"other mesopelagic fishes";"shrimps";"1";"predation"
"other mesopelagic fishes";"vertically migrating mesopelagic fishes";"1";"predation"
"other mesopelagic fishes";"hyperiid amphipods";"1";"predation"
"snake mackerel";"flying fishes";"1";"predation"
"snake mackerel";"lanternfish";"1";"predation"
"squid";"flying fishes";"1";"predation"
"squid";"lanternfish";"1";"predation"
"dolphin Coryphaena";"flying fishes";"1";"predation"
"dolphin Coryphaena";"lanternfish";"1";"predation"
"tuna 1";"euphausiids";"1";"predation"
"tuna 1";"shrimps";"1";"predation"
"tuna 1";"vertically migrating mesopelagic fishes";"1";"predation"
"tuna 1";"hyperiid amphipods";"1";"predation"
"tuna 1";"lanternfish";"1";"predation"
"tuna 1";"other mesopelagic fishes";"1";"predation"
"tuna 1";"snake mackerel";"1";"predation"
"tuna 1";"squid";"1";"predation"
"tuna 1";"tuna 2";"1";"predation"
"tuna 2";"vertically migrating mesopelagic fishes";"1";"predation"
"tuna 2";"hyperiid amphipods";"1";"predation"
"tuna 2";"other mesopelagic fishes";"1";"predation"
"tuna 2";"snake mackerel";"1";"predation"
"tuna 2";"squid";"1";"predation"
"marlin";"other mesopelagic fishes";"1";"predation"
"marlin";"squid";"1";"predation"
"marlin";"tuna 1";"1";"predation"
"marlin";"tuna 2";"1";"predation"
"medium-sized sharks";"ocean sunfish";"1";"predation"
"medium-sized sharks";"squid";"1";"predation"
"medium-sized sharks";"tuna 1";"1";"predation"
"medium-sized sharks";"tuna 2";"1";"predation"
"large sharks";"tuna 1";"1";"predation"
"large sharks";"marlin";"1";"predation"
"large sharks";"medium-sized sharks";"1";"predation"
