"sp_taxon_1";"sp_taxon_2";"value"
"Ice algae";"Ice invertebrates";"1"
"Zooplankton";"Ice invertebrates";"1"
"Ice algae";"Zooplankton";"1"
"Phytoplankton";"Zooplankton";"1"
"Detritus";"Zooplankton";"1"
"Ice invertebrates";"Zooplankton";"1"
"Ice invertebrates";"Fish";"1"
"Zooplankton";"Fish";"1"
"Zooplankton";"Cephalopods";"1"
"Fish";"Cephalopods";"1"
"Zooplankton";"Penguins";"1"
"Fish";"Penguins";"1"
"Cephalopods";"Penguins";"1"
"Zooplankton";"Seals";"1"
"Fish";"Seals";"1"
"Cephalopods";"Seals";"1"
"Penguins";"Seals";"1"
"Zooplankton";"Whales";"1"
"Fish";"Whales";"1"
"Cephalopods";"Whales";"1"
"Seals";"Whales";"1"
