"sp_taxon_1";"sp_taxon_2";"value"
"Cordia globosa";"Unidentified sp1 M_PL_035";"1"
"Morinda royoc";"Unidentified sp1 M_PL_035";"1"
"Borreria laevis";"Unidentified sp1 M_PL_035";"1"
"Eupatorium odoratum";"Unidentified sp1 M_PL_035";"1"
"Blechum pyramidatum";"Unidentified sp1 M_PL_035";"1"
"Bauhinia divaricata";"Unidentified sp1 M_PL_035";"1"
"Cordia sebestena";"Unidentified sp1 M_PL_035";"1"
"Ehretia tinifolia";"Unidentified sp1 M_PL_035";"1"
"Lantana involucrata";"Unidentified sp1 M_PL_035";"1"
"Mikania micrantha";"Unidentified sp1 M_PL_035";"1"
"Urechites lutea";"Unidentified sp1 M_PL_035";"1"
"Waltheria indica";"Unidentified sp1 M_PL_035";"1"
"Alternanthera ficoidea";"Unidentified sp1 M_PL_035";"1"
"Bursera simaruba ";"Unidentified sp1 M_PL_035";"1"
"Capraria biflora";"Unidentified sp1 M_PL_035";"1"
"Ipomoea acuminata";"Unidentified sp1 M_PL_035";"1"
"Melochia nodiflora";"Unidentified sp1 M_PL_035";"1"
"Conocarpus erectus";"Unidentified sp1 M_PL_035";"1"
"Cordia brownei";"Unidentified sp1 M_PL_035";"1"
"Crotalaria verrucosa";"Unidentified sp1 M_PL_035";"1"
"Guazuma ulmifolia";"Unidentified sp1 M_PL_035";"1"
"Indigofera tinctoria";"Unidentified sp1 M_PL_035";"1"
"Turnera ulmifolia";"Unidentified sp1 M_PL_035";"1"
"Argythamnia candicans";"Unidentified sp1 M_PL_035";"1"
"Bourreria succulenta";"Unidentified sp1 M_PL_035";"1"
"Broughtonia sanguinea";"Unidentified sp1 M_PL_035";"1"
"Cissus sicycoides";"Unidentified sp1 M_PL_035";"1"
"Jacquinia arborea";"Unidentified sp1 M_PL_035";"1"
"Malpighia glabra";"Unidentified sp1 M_PL_035";"1"
"Philoxerus vermicularis";"Unidentified sp1 M_PL_035";"1"
"Physalis angulata";"Unidentified sp1 M_PL_035";"1"
"Spilanthes urens";"Apis mellifera";"1"
"Stachytarpheta jamaicensis";"Apis mellifera";"1"
"Cordia globosa";"Apis mellifera";"1"
"Morinda royoc";"Apis mellifera";"1"
"Piscidia piscipula";"Apis mellifera";"1"
"Borreria laevis";"Apis mellifera";"1"
"Cordia gerascanthus";"Apis mellifera";"1"
"Bauhinia divaricata";"Apis mellifera";"1"
"Ehretia tinifolia";"Apis mellifera";"1"
"Lantana involucrata";"Apis mellifera";"1"
"Mikania micrantha";"Apis mellifera";"1"
"Alternanthera ficoidea";"Apis mellifera";"1"
"Bursera simaruba ";"Apis mellifera";"1"
"Capraria biflora";"Apis mellifera";"1"
"Evolvulus nummularius";"Apis mellifera";"1"
"Avicennia germinans";"Apis mellifera";"1"
"Capparis ferruginea";"Apis mellifera";"1"
"Sarcostemma clausum";"Apis mellifera";"1"
"Tribulus cistoides";"Apis mellifera";"1"
"Cordia globosa";"Unidentified sp2 M_PL_035";"1"
"Piscidia piscipula";"Unidentified sp2 M_PL_035";"1"
"Eupatorium odoratum";"Unidentified sp2 M_PL_035";"1"
"Ehretia tinifolia";"Unidentified sp2 M_PL_035";"1"
"Lantana involucrata";"Unidentified sp2 M_PL_035";"1"
"Urechites lutea";"Unidentified sp2 M_PL_035";"1"
"Alternanthera ficoidea";"Unidentified sp2 M_PL_035";"1"
"Evolvulus nummularius";"Unidentified sp2 M_PL_035";"1"
"Ipomoea acuminata";"Unidentified sp2 M_PL_035";"1"
"Cordia brownei";"Unidentified sp2 M_PL_035";"1"
"Guazuma ulmifolia";"Unidentified sp2 M_PL_035";"1"
"Thunbergia fragrans";"Unidentified sp2 M_PL_035";"1"
"Lippia nodiflora";"Unidentified sp2 M_PL_035";"1"
"Momordica charantia ";"Unidentified sp2 M_PL_035";"1"
"Rhabdadenia biflora";"Unidentified sp2 M_PL_035";"1"
"Solanum torvum";"Unidentified sp2 M_PL_035";"1"
"Stylosanthes hamata";"Unidentified sp2 M_PL_035";"1"
"Spilanthes urens";"Dielis dorsata";"1"
"Cordia globosa";"Dielis dorsata";"1"
"Morinda royoc";"Dielis dorsata";"1"
"Cordia gerascanthus";"Dielis dorsata";"1"
"Eupatorium odoratum";"Dielis dorsata";"1"
"Lantana involucrata";"Dielis dorsata";"1"
"Mikania micrantha";"Dielis dorsata";"1"
"Ipomoea tiliacea";"Dielis dorsata";"1"
"Cordia globosa";"Unidentified sp3 M_PL_035";"1"
"Piscidia piscipula";"Unidentified sp3 M_PL_035";"1"
"Urechites lutea";"Unidentified sp3 M_PL_035";"1"
"Capraria biflora";"Unidentified sp3 M_PL_035";"1"
"Conocarpus erectus";"Unidentified sp3 M_PL_035";"1"
"Indigofera tinctoria";"Unidentified sp3 M_PL_035";"1"
"Thunbergia fragrans";"Unidentified sp3 M_PL_035";"1"
"Euphorbia hyssopifolia";"Unidentified sp3 M_PL_035";"1"
"Spilanthes urens";"Papilio polydamas";"1"
"Stachytarpheta jamaicensis";"Papilio polydamas";"1"
"Morinda royoc";"Papilio polydamas";"1"
"Cordia gerascanthus";"Papilio polydamas";"1"
"Blechum pyramidatum";"Papilio polydamas";"1"
"Bauhinia divaricata";"Papilio polydamas";"1"
"Lantana camara";"Papilio polydamas";"1"
"Stachytarpheta jamaicensis";"Mellisuga humilis";"1"
"Cordia globosa";"Mellisuga humilis";"1"
"Morinda royoc";"Mellisuga humilis";"1"
"Piscidia piscipula";"Mellisuga humilis";"1"
"Cordia gerascanthus";"Mellisuga humilis";"1"
"Merremia umbellata";"Mellisuga humilis";"1"
"Morinda royoc";"Trochilus polytmus";"1"
"Piscidia piscipula";"Trochilus polytmus";"1"
"Cordia sebestena";"Trochilus polytmus";"1"
"Urechites lutea";"Trochilus polytmus";"1"
"Ipomoea acuminata";"Trochilus polytmus";"1"
"Turnera ulmifolia";"Trochilus polytmus";"1"
"Spilanthes urens";"Eristalis vinatorum";"1"
"Cordia globosa";"Eristalis vinatorum";"1"
"Borreria laevis";"Eristalis vinatorum";"1"
"Bauhinia divaricata";"Eristalis vinatorum";"1"
"Mikania micrantha";"Eristalis vinatorum";"1"
"Spilanthes urens";"Junonia sp1 M_PL_035";"1"
"Stachytarpheta jamaicensis";"Junonia sp1 M_PL_035";"1"
"Cordia globosa";"Junonia sp1 M_PL_035";"1"
"Borreria laevis";"Junonia sp1 M_PL_035";"1"
"Melochia nodiflora";"Junonia sp1 M_PL_035";"1"
"Cassia occidentalis";"Euglossa cordata";"1"
"Cassia sp1 M_PL_035";"Euglossa cordata";"1"
"Solanum erianthum";"Euglossa cordata";"1"
"Solanum havanense";"Euglossa cordata";"1"
"Spilanthes urens";"Exomalopsis sp1 M_PL_035";"1"
"Borreria laevis";"Exomalopsis sp1 M_PL_035";"1"
"Mimosa pudica";"Exomalopsis sp1 M_PL_035";"1"
"Sesuvium portulacastrum";"Exomalopsis sp1 M_PL_035";"1"
"Eupatorium odoratum";"Oncopeltus piltus";"1"
