"name";"bold";"eol";"tsn";"ncbi"
"Dielis dorsata";NA;NA;NA;NA
"Papilio polydamas";NA;NA;NA;NA
"Mellisuga humilis";NA;NA;NA;NA
"Trochilus polytmus";"95406";"57446205";"555141";"1109101"
"Eristalis vinatorum";NA;NA;NA;NA
"Junonia";"7086";"51227099";"177091";"39707"
"Euglossa cordata";"80793";"46499010";"763390";"324726"
"Exomalopsis";"91049";"52192635";"699205";"156320"
"Oncopeltus piltus";NA;NA;NA;NA
"Polygonus leo";"17526";"46425800";"779643";"355083"
"Agraulis vanillae";"17383";"52267644";NA;"40039"
"Anartia jatrophae";"17070";"46424743";NA;"165846"
"Coereba flaveola ";NA;"55926931";"729977";"87177"
"Danaus gilippus";"19719";"51229368";NA;"166024"
"Eurema";"3107";"51224039";"777727";"72256"
"Leptotes cassius";"100830";"46423307";NA;"1479067"
"Microbembex monadonta";NA;NA;NA;NA
"Phoebis sennae";"21448";"46423812";NA;"40077"
"Urbanus proteus";"17748";"52435740";NA;"355207"
"Ascia josephina";NA;NA;NA;"320221"
"Centris dirrhoda";NA;"52192397";"699032";NA
"Strymon columella";"353524";NA;NA;"265221"
"Culex";"6441";"55725611";"126459";"7174"
"Danaus eresimus";"19690";"52262821";NA;"165861"
"Hylephila phyleus";"32783";NA;NA;"40095"
"Cordia globosa";NA;NA;NA;NA
"Morinda royoc";NA;"46171640";"35072";"168286"
"Borreria laevis";"294999";NA;NA;NA
"Eupatorium odoratum";"607450";NA;NA;"103745"
"Blechum pyramidatum";NA;NA;NA;"544840"
"Bauhinia divaricata";"294748";"52876565";"26491";"1475373"
"Cordia sebestena";"561099";"57266989";"31748";"163077"
"Ehretia tinifolia";"294655";"57266977";NA;"163087"
"Lantana involucrata";"559914";"46172080";NA;"925351"
"Mikania micrantha";"531157";"57238817";"36046";"192012"
"Urechites lutea";NA;NA;NA;"141598"
"Waltheria indica";"253104";"61394158";"21561";"671526"
"Alternanthera ficoidea";"416577";"50861051";NA;"326744"
"Bursera simaruba ";NA;"46207642";NA;"80326"
"Capraria biflora";NA;"61361817";"33509";"255867"
"Ipomoea acuminata";NA;NA;NA;"264526"
"Melochia nodiflora";"314983";"52993139";"21548";"1475424"
"Conocarpus erectus";"257907";"61398097";"27766";"134917"
"Cordia brownei";NA;NA;NA;NA
"Crotalaria verrucosa";"342967";"61401170";"501811";"890036"
"Guazuma ulmifolia";"176112";"61394132";"21546";"93772"
"Indigofera tinctoria";"429426";"50930007";"26750";"198914"
"Turnera ulmifolia";"395438";"50912432";"22216";"45184"
"Argythamnia candicans";NA;"52840394";"184707";"1487782"
"Bourreria succulenta";"418560";"52991366";"31732";"43177"
"Broughtonia sanguinea";"412590";"53058336";NA;"123116"
"Cissus sicycoides";NA;NA;NA;NA
"Jacquinia arborea";"559907";NA;"503228";"232877"
"Malpighia glabra";"176148";"50915652";"565291";"71611"
"Philoxerus vermicularis";NA;NA;NA;"221764"
"Physalis angulata";"438708";"57254132";"30590";"113208"
"Spilanthes urens";"551400";"46182726";"38441";"183081"
"Stachytarpheta jamaicensis";"204753";"61359801";"32204";"634377"
"Piscidia piscipula";"294770";"46210977";"26865";"62123"
"Cordia gerascanthus";"253108";"57267026";"31755";"303145"
"Evolvulus nummularius";"395627";"61374271";"30850";"1125910"
"Avicennia germinans";"257908";"57261325";"32137";"41378"
"Capparis ferruginea";NA;NA;NA;NA
"Sarcostemma clausum";"315150";NA;NA;NA
"Tribulus cistoides";"439921";"57293608";"29056";"693388"
"Thunbergia fragrans";"600264";"57260401";"34408";"504047"
"Lippia nodiflora";NA;NA;NA;"222877"
"Momordica charantia ";NA;"61405841";NA;"3673"
"Rhabdadenia biflora";"531210";"59949928";"30219";"179644"
"Solanum torvum";"252381";"61372644";"30460";"119830"
"Stylosanthes hamata";"428128";"46211106";"26976";"37660"
"Ipomoea tiliacea";"401619";"57255666";"845119";"129209"
"Euphorbia hyssopifolia";"252351";"46212722";"28084";"1046468"
"Merremia umbellata";"315027";"61374296";"30872";"197417"
"Cassia occidentalis";"480064";NA;NA;"126820"
"Cassia";"204695";NA;"190937";"53851"
"Solanum erianthum";"294621";"57254774";"30430";"374041"
"Solanum havanense";NA;"46185408";"821664";"205554"
"Mimosa pudica";"317750";"46210809";NA;"76306"
"Sesuvium portulacastrum";"416294";"46188351";"19910";"221166"
"Ascleptas curassavica";NA;NA;NA;NA
"Byrsonia coriacea";NA;NA;NA;NA
"Vernonia cinerea";"485566";NA;NA;"211151"
"Euphorbia heterophylla";"252386";"50914614";"28079";"212910"
"Bunchosia media";NA;NA;NA;NA
