"original_name";"name_clear"
"Unidentified sp1 M_PL_035";"Unidentified"
"Apis mellifera";"Apis mellifera"
"Unidentified sp2 M_PL_035";"Unidentified"
"Dielis dorsata";"Dielis dorsata"
"Unidentified sp3 M_PL_035";"Unidentified"
"Papilio polydamas";"Papilio polydamas"
"Mellisuga humilis";"Mellisuga humilis"
"Trochilus polytmus";"Trochilus polytmus"
"Eristalis vinatorum";"Eristalis vinatorum"
"Junonia sp1 M_PL_035";"Junonia"
"Euglossa cordata";"Euglossa cordata"
"Exomalopsis sp1 M_PL_035";"Exomalopsis"
"Oncopeltus piltus";"Oncopeltus piltus"
"Polygonus leo";"Polygonus leo"
"Unidentified sp4 M_PL_035";"Unidentified"
"Agraulis vanillae";"Agraulis vanillae"
"Anartia jatrophae";"Anartia jatrophae"
"Coereba flaveola ";"Coereba flaveola "
"Danaus gilippus";"Danaus gilippus"
"Eurema sp1 M_PL_035";"Eurema"
"Leptotes cassius";"Leptotes cassius"
"Microbembex monadonta";"Microbembex monadonta"
"Phoebis sennae";"Phoebis sennae"
"Unidentified sp5 M_PL_035";"Unidentified"
"Urbanus proteus";"Urbanus proteus"
"Ascia josephina";"Ascia josephina"
"Centris dirrhoda";"Centris dirrhoda"
"Centris sp1 M_PL_035";"Centris"
"Strymon columella";"Strymon columella"
"Unidentified sp6 M_PL_035";"Unidentified"
"Culex sp1 M_PL_035";"Culex"
"Danaus eresimus";"Danaus eresimus"
"Hylephila phyleus";"Hylephila phyleus"
"Unidentified sp7 M_PL_035";"Unidentified"
"Unidentified sp8 M_PL_035";"Unidentified"
"Xylocopa sp1 M_PL_035";"Xylocopa"
"Cordia globosa";"Cordia globosa"
"Morinda royoc";"Morinda royoc"
"Borreria laevis";"Borreria laevis"
"Eupatorium odoratum";"Eupatorium odoratum"
"Blechum pyramidatum";"Blechum pyramidatum"
"Bauhinia divaricata";"Bauhinia divaricata"
"Cordia sebestena";"Cordia sebestena"
"Ehretia tinifolia";"Ehretia tinifolia"
"Lantana involucrata";"Lantana involucrata"
"Mikania micrantha";"Mikania micrantha"
"Urechites lutea";"Urechites lutea"
"Waltheria indica";"Waltheria indica"
"Alternanthera ficoidea";"Alternanthera ficoidea"
"Bursera simaruba ";"Bursera simaruba "
"Capraria biflora";"Capraria biflora"
"Ipomoea acuminata";"Ipomoea acuminata"
"Melochia nodiflora";"Melochia nodiflora"
"Conocarpus erectus";"Conocarpus erectus"
"Cordia brownei";"Cordia brownei"
"Crotalaria verrucosa";"Crotalaria verrucosa"
"Guazuma ulmifolia";"Guazuma ulmifolia"
"Indigofera tinctoria";"Indigofera tinctoria"
"Turnera ulmifolia";"Turnera ulmifolia"
"Argythamnia candicans";"Argythamnia candicans"
"Bourreria succulenta";"Bourreria succulenta"
"Broughtonia sanguinea";"Broughtonia sanguinea"
"Cissus sicycoides";"Cissus sicycoides"
"Jacquinia arborea";"Jacquinia arborea"
"Malpighia glabra";"Malpighia glabra"
"Philoxerus vermicularis";"Philoxerus vermicularis"
"Physalis angulata";"Physalis angulata"
"Spilanthes urens";"Spilanthes urens"
"Stachytarpheta jamaicensis";"Stachytarpheta jamaicensis"
"Piscidia piscipula";"Piscidia piscipula"
"Cordia gerascanthus";"Cordia gerascanthus"
"Evolvulus nummularius";"Evolvulus nummularius"
"Avicennia germinans";"Avicennia germinans"
"Capparis ferruginea";"Capparis ferruginea"
"Sarcostemma clausum";"Sarcostemma clausum"
"Tribulus cistoides";"Tribulus cistoides"
"Thunbergia fragrans";"Thunbergia fragrans"
"Lippia nodiflora";"Lippia nodiflora"
"Momordica charantia ";"Momordica charantia "
"Rhabdadenia biflora";"Rhabdadenia biflora"
"Solanum torvum";"Solanum torvum"
"Stylosanthes hamata";"Stylosanthes hamata"
"Ipomoea tiliacea";"Ipomoea tiliacea"
"Euphorbia hyssopifolia";"Euphorbia hyssopifolia"
"Lantana camara";"Lantana camara"
"Merremia umbellata";"Merremia umbellata"
"Cassia occidentalis";"Cassia occidentalis"
"Cassia sp1 M_PL_035";"Cassia"
"Solanum erianthum";"Solanum erianthum"
"Solanum havanense";"Solanum havanense"
"Mimosa pudica";"Mimosa pudica"
"Sesuvium portulacastrum";"Sesuvium portulacastrum"
"Ascleptas curassavica";"Ascleptas curassavica"
"Byrsonia coriacea";"Byrsonia coriacea"
"Vernonia cinerea";"Vernonia cinerea"
"Euphorbia heterophylla";"Euphorbia heterophylla"
"Bunchosia media";"Bunchosia media"
