"sp_taxon_1";"sp_taxon_2";"value";"type"
"Balanus balanoides";"plankton";"1";"commensalism"
"Balanus balanoides";"suspended detritus";"1";"commensalism"
"B. eburneus";"plankton";"1";"commensalism"
"B. eburneus";"suspended detritus";"1";"commensalism"
"Modiolus demissus";"plankton";"1";"commensalism"
"Modiolus demissus";"suspended detritus";"1";"commensalism"
"Molgula manhattensis";"plankton";"1";"commensalism"
"Molgula manhattensis";"suspended detritus";"1";"commensalism"
"Littorina littorea";"seaweeds";"1";"herbivory"
"Schizoporella";"plankton";"1";"commensalism"
"Schizoporella";"suspended detritus";"1";"commensalism"
"Hydroides";"plankton";"1";"commensalism"
"Hydroides";"suspended detritus";"1";"commensalism"
"Haliplanella";"plankton";"1";"commensalism"
"Haliplanella";"suspended detritus";"1";"commensalism"
"Bugula";"plankton";"1";"commensalism"
"Bugula";"suspended detritus";"1";"commensalism"
"Urosalpinx cinerea";"Balanus balanoides";"1";"predation"
"Urosalpinx cinerea";"B. eburneus";"1";"predation"
"Urosalpinx cinerea";"Modiolus demissus";"1";"predation"
"Urosalpinx cinerea";"Littorina littorea";"1";"predation"
"Neopanope texana sayi";"Modiolus demissus";"1";"predation"
"Neopanope texana sayi";"Molgula manhattensis";"1";"predation"
"Callinectes sapidus";"Modiolus demissus";"1";"predation"
"Callinectes sapidus";"Littorina littorea";"1";"predation"
"Callinectes sapidus";"Urosalpinx cinerea";"1";"predation"
"Callinectes sapidus";"Neopanope texana sayi";"1";"predation"
