"name";"bold";"eol";"tsn";"ncbi"
"Balanus balanoides";NA;NA;NA;94630
"Balanus eburneus";173995;6981331;89621;637417
"Modiolus demissus";NA;NA;79504;NA
"Molgula manhattensis";505893;7910329;159557;30281
"Littorina littorea";27986;5993120;70419;31216
"Schizoporella";163773;11211158;156298;97284
"Hydroides";285914;7630163;68285;216497
"Haliplanella";507083;12160255;204191;58811
"Bugula";31582;5711299;156053;10211
"Urosalpinx cinerea";80257;5834066;73264;399971
"Dyspanopeus texanus";NA;6991107;98902;108119
"Callinectes sapidus";25651;7170397;98696;6763
"Suspended detritus";NA;NA;NA;NA
