"sp_taxon_1";"sp_taxon_2";"value";"type"
"saprophagous plankton";"detritus";"1";"commensalism"
"large-sized phytoplankton";"detritus";"1";"commensalism"
"Oikopleura";"detritus";"1";"commensalism"
"Oikopleura";"phytoplankton";"1";"herbivory"
"Oikopleura";"saprophagous plankton";"1";"predation"
"II-III copepodites";"detritus";"1";"commensalism"
"II-III copepodites";"phytoplankton";"1";"herbivory"
"II-III copepodites";"saprophagous plankton";"1";"predation"
"II-III copepodites";"large-sized phytoplankton";"1";"herbivory"
"IV-VI copepodites of Paracalanus";"detritus";"1";"commensalism"
"IV-VI copepodites of Paracalanus";"phytoplankton";"1";"herbivory"
"larvae of molluscs and polychaetes";"detritus";"1";"commensalism"
"larvae of molluscs and polychaetes";"phytoplankton";"1";"herbivory"
"larvae of molluscs and polychaetes";"saprophagous plankton";"1";"predation"
"larvae of molluscs and polychaetes";"large-sized phytoplankton";"1";"herbivory"
"naupliuses";"detritus";"1";"commensalism"
"naupliuses";"phytoplankton";"1";"herbivory"
"naupliuses";"saprophagous plankton";"1";"predation"
"naupliuses";"large-sized phytoplankton";"1";"herbivory"
"IV-VI copepodites of Calanus and Pseudocalanus";"detritus";"1";"commensalism"
"IV-VI copepodites of Calanus and Pseudocalanus";"phytoplankton";"1";"herbivory"
"IV-VI copepodites of Calanus and Pseudocalanus";"saprophagous plankton";"1";"predation"
"IV-VI copepodites of Calanus and Pseudocalanus";"large-sized phytoplankton";"1";"herbivory"
"mixed-food consumers";"detritus";"1";"commensalism"
"mixed-food consumers";"phytoplankton";"1";"herbivory"
"mixed-food consumers";"saprophagous plankton";"1";"predation"
"mixed-food consumers";"large-sized phytoplankton";"1";"herbivory"
"mixed-food consumers";"Oikopleura";"1";"predation"
"mixed-food consumers";"II-III copepodites";"1";"predation"
"mixed-food consumers";"larvae of molluscs and polychaetes";"1";"predation"
"mixed-food consumers";"naupliuses";"1";"predation"
"primary carnivores";"detritus";"1";"commensalism"
"primary carnivores";"Oikopleura";"1";"predation"
"primary carnivores";"II-III copepodites";"1";"predation"
"primary carnivores";"IV-VI copepodites of Paracalanus";"1";"predation"
"primary carnivores";"naupliuses";"1";"predation"
"primary carnivores";"mixed-food consumers";"1";"predation"
"secondary carnivores";"Oikopleura";"1";"predation"
"secondary carnivores";"II-III copepodites";"1";"predation"
"secondary carnivores";"IV-VI copepodites of Paracalanus";"1";"predation"
"secondary carnivores";"larvae of molluscs and polychaetes";"1";"predation"
"secondary carnivores";"naupliuses";"1";"predation"
"secondary carnivores";"IV-VI copepodites of Calanus and Pseudocalanus";"1";"predation"
"secondary carnivores";"mixed-food consumers";"1";"predation"
"secondary carnivores";"primary carnivores";"1";"predation"
"tertiary carnivores";"Oikopleura";"1";"predation"
"tertiary carnivores";"II-III copepodites";"1";"predation"
"tertiary carnivores";"IV-VI copepodites of Paracalanus";"1";"predation"
"tertiary carnivores";"IV-VI copepodites of Calanus and Pseudocalanus";"1";"predation"
"tertiary carnivores";"mixed-food consumers";"1";"predation"
"tertiary carnivores";"primary carnivores";"1";"predation"
"tertiary carnivores";"secondary carnivores";"1";"predation"
