"original_name";"name_clear"
"detritus";"Detritus"
"small-size phytoplankton";"Phytoplankton"
"medium-size phytoplankton";"Phytoplankton"
"large-size phytoplankton";"Phytoplankton"
"bacteria";"Bacteria"
"nauplii of Copepoda";"Copepoda"
"small-size Appendicularia";"Appendicularia"
"large-size Appendicularia";"Appendicularia"
"Infusoria";"Infusoria"
"Radiolaria";"Radiolaria"
"copepodites";"Copepoda"
"small-size 'Calanus type'";"Calanus"
"small-size 'Acartia type'";"Acartia"
"large-size 'Acartia type'";"Acartia"
"small-size 'Oithona-Oncaea type'";"Copepoda"
"large-size 'Calanus type'";"Calanus"
"large-size 'Oithona-Oncaea type'";"Oithona"
"'Euchaeta type'";"Euchaeta"
"'Centropages type'";"Centropages"
"'Amphipoda type'";"Amphipoda"
"'Euphausia type'";"Euphausia"
"Chaetognatha";"Chaetognatha"
"Medusae";"Medusae"
"Ctenophora";"Ctenophora"
