"sp_taxon_1";"sp_taxon_2";"value";"type"
"prawns and shrimps";"basic food";"1";"unknown"
"prawns and shrimps";"detritus";"1";"commensalism"
"benthos (micro meio and macro)";"basic food";"1";"unknown"
"benthos (micro meio and macro)";"detritus";"1";"commensalism"
"zooplankton herbivores";"basic food";"1";"unknown"
"zooplankton herbivores";"detritus";"1";"commensalism"
"fish herbivores";"basic food";"1";"unknown"
"fish herbivores";"detritus";"1";"commensalism"
"other carnivores";"prawns and shrimps";"1";"predation"
"other carnivores";"benthos (micro meio and macro)";"1";"predation"
"other carnivores";"zooplankton herbivores";"1";"predation"
"fish carnivores";"prawns and shrimps";"1";"predation"
"fish carnivores";"zooplankton herbivores";"1";"predation"
"fish carnivores";"fish herbivores";"1";"predation"
"fish carnivores";"other carnivores";"1";"predation"
"man";"prawns and shrimps";"1";"predation"
"man";"fish herbivores";"1";"predation"
"man";"fish carnivores";"1";"predation"
