"Ruzicka, J.J., Brodeur, R.D., Emmett, R.L., Steele, J.H., Zamon, J.E., Morgan, C.A., Thomas, A.C., and Wainwright, T.C. (2012). Interannual variability in the Northern California Current food web structure: Changes in energy flow pathways and the role of forage fish, euphausiids, and jellyfish. Progress in Oceanography. 102, pp. 19-41.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Californian Current food web - 2004,MZ: micro-zooplankton,"Z1ai: copepods (large, >= 0.025mg C)","Z1aii: copepods (small, < 0.025mg C)",Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",Z2c: other macro-zooplankton ,Z2e: small jellyfish ,Z2f: large jellyfish ,Z3a: E. pacifica (adult & juveniles) ,Z3b: T. spinifera (adult & juveniles) ,C: cephalopod aggregate,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook subyearling,PlnkF2bii: Chinook yearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF7: sablefish,"PiscF8: Hexagrammidae (lingcod, greenling)",PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,"BnthF4: Gadidae (cod, haddock, pollock)",BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,"DepB5: benthic amphipods, isopods, and cumaceans",SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2: large pinnipeds,PiscMM4: toothed whales
P1: large phytoplankton,0.2650307,0.4638037,0.397546,0.397546,0.3644172,0.2738429,0.03379141,0.2012908,0.3478528,0,0.4041718,0.3047853,0,0,0,0.2918,0.24,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0,0,0,0,0.06625767,0,0.01325153,0.006625767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2: small phytoplankton,0.1349693,0.2361963,0.202454,0.202454,0.1855828,0.1394571,0.01720859,0.1025092,0.1771472,0,0.2058282,0.1552147,0,0,0,0.0101,0.01,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0,0,0,0,0.03374233,0,0.006748466,0.003374233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ: micro-zooplankton,0,0.3,0.4,0.4,0.15,0.2583583,0.03075209,0.151857,0.25,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z1ai: copepods (large, >= 0.025mg C)",0,0,0,0,0.01562472,0.01585909,0.02546271,0.02090364,0.006417296,0.03481949,0.003627167,0.003627167,0.00390618,0.01203103,0.02416251,0.008761004,0.002845931,0.003164006,0.006054579,0,0.001,0,0.1016,0.003454179,0.001685238,0,0,0.01975293,0,0.000111605,0.004631613,5.58026E-05,0,0,0,0,0,0,0,0.000786816,0.001143953,0.001120474,0.003939661,0,0.03046262,0.03572481,0,0.006138283,0,0.008091373,0,0,0,0.000279013,0,0,0,0,0,0,0.1519757,0,0.01,0,0.2082195,0,0.000558026,0,0,0
"Z1aii: copepods (small, < 0.025mg C)",0,0,0,0,0.1534717,0.1557738,0.250104,0.2053232,0.06303301,0.3133754,0.03562736,0.03562736,0.03836792,0.1181732,0.237333,0.08605377,0.02795377,0.03107802,0.05947028,0.001,0.003,0.001,0.0339,0.0339282,0.01655302,0,0,0.09876467,0,0.001096226,0.04549339,0.000548113,0,0,0,0,0,0,0,0.007728396,0.01123632,0.01100571,0.03869679,0,0.299215,0.3509021,0,0.06029245,0,0.07947641,0,0,0,0.002740566,0,0,0,0,0,0,0,0,0,0,0,0,0.005481132,0,0,0
Z1b: small invertebrate larvae,0,0,0,0,0.1109036,0.1125671,0.1807332,0.1483732,0.04554969,0.0547921,0.02574548,0.02574548,0.0277259,0.08539577,0.1715045,0.06218523,0.0202003,0.02245798,0.04297514,0,0.017,0.004006326,0.07001516,0.02451762,0.01196175,0,0,0,0,0.000792169,0.03287499,0.000396084,0,0,0,0,0,0,0,0.005584788,0.008119727,0.00795308,0.02796355,0,0.2162224,0.2535731,0,0.04356927,0,0.05743222,0,0,0,0.001980421,0,0,0,0,0,0,0,0,0.005,0,0.02602743,0,0.003960843,0,0,0
Z1d: pteropods,0,0,0,0,0,0,0.05563956,0.02557975,0,0.02474482,0,0,0.1253697,0.017015,0,0.0101,0.002,0,0.005428587,0,0,0,0,0.0121512,0,0.004097038,0.005,0.006584312,0,0.01640283,0.005600086,0,0.001878739,0,0.004299421,0,0.000361296,0,0,0,0.001110262,0,0.005102363,0,0.07966574,0.02984304,0,0.01445184,0,0.01083888,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Z2a: pelagic amphipods,0,0,0,0,0,0,0.02326458,0.01069566,0,0.04418718,0,0,0.05242083,0.17015,0.008,0.005,0.04,0.0023,0.05428587,0.001,0.035,0.008,0.01129277,0.1071515,0.001007958,0,0,0.210698,0,0.006858518,0.002341564,0,0.000785557,0,0.001797717,0,0.000151069,0,0,0.0101,0.000464234,0,0.002133451,0,0.03331064,0.01247827,0,0.006042747,0,0.00453206,0,0,0,0,0,0,0,0.015,0.005,0.005,0.0152,0.0121,0.015,0,0.03123292,0,0.01,0,0,0
"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",0,0,0,0,0,0,0.005,0.0051,0,0,0,0,0.02167949,0.1021,0,0.0604,0.032,0.0284,0.0543,0,0,0,0,0,0.2218,0.0584,0.01,0.0132,0,0.1008,0.0104,0.001,0.0103,0,0,0,0,0,0,0.0655,0,0,0.005,0,0.105,0.031,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,0.005,0.0152,0.011,0.02,0.01,0.0312,0,0.03,0,0,0
Z2c: other macro-zooplankton ,0,0,0,0,0,0,0.07509586,0.03452459,0,0.08837435,0,0,0.1692095,0.1508663,0.002,0.0503,0.03,0.0284,0.04885728,0.15,0.117,0.1022,0.1038935,0.003313965,0.1310345,0.05531002,0.01,0.01316862,0.005,0.02213865,0.007558349,0.09,0.002535704,0.0101,0.005802862,0,0.000487635,0,0,0.005,0.001498504,0,0.00688658,0,0.1075236,0.04027869,0,0.01950542,0,0.01462906,0,0,0,0,0,0,0,0.04,0.015,0.01,0.0314,0.0251,0.05,0.02,0.1093152,0.12,0.05,0,0,0
