"sp_taxon_1";"sp_taxon_2";"value";"type"
"Mysidacea";"phytoplankton";"1";"herbivory"
"Copepoda";"phytoplankton";"1";"herbivory"
"Chelon labrosus";"Ulva";"1";"herbivory"
"Chelon labrosus";"Enteromorpha";"1";"herbivory"
"Liza ramada";"Ulva";"1";"herbivory"
"Liza ramada";"Enteromorpha";"1";"herbivory"
"L. aurata";"Ulva";"1";"herbivory"
"L. aurata";"Enteromorpha";"1";"herbivory"
"Chelon labrosus";"suspended detritus";"1";"commensalism"
"Liza ramada";"suspended detritus";"1";"commensalism"
"L. aurata";"suspended detritus";"1";"commensalism"
"Chelon labrosus";"sedimented detritus";"1";"commensalism"
"Liza ramada";"sedimented detritus";"1";"commensalism"
"L. aurata";"sedimented detritus";"1";"commensalism"
"Crassostrea angulata";"suspended detritus";"1";"commensalism"
"Scrobicularia plana";"suspended detritus";"1";"commensalism"
"Cerastoderma";"suspended detritus";"1";"commensalism"
"Mytilus galloprovincialis";"suspended detritus";"1";"commensalism"
"bacteria";"suspended detritus";"1";"commensalism"
"bacteria";"sedimented detritus";"1";"commensalism"
"Gammaridae";"sedimented detritus";"1";"commensalism"
"Corophium";"sedimented detritus";"1";"commensalism"
"Cirratulidae";"sedimented detritus";"1";"commensalism"
"Capitellidae";"sedimented detritus";"1";"commensalism"
"Maldanidae";"sedimented detritus";"1";"commensalism"
"meiofauna";"sedimented detritus";"1";"commensalism"
"Engraulis encrasicolus";"Mysidacea";"1";"predation"
"Engraulis encrasicolus";"Copepoda";"1";"predation"
"Sardina pilchardus";"Mysidacea";"1";"predation"
"Sardina pilchardus";"Copepoda";"1";"predation"
"Clupeidae";"Mysidacea";"1";"predation"
"Clupeidae";"Copepoda";"1";"predation"
"Carcinus maenas";"sedimented detritus";"1";"commensalism"
"Carcinus maenas";"Mytilus galloprovincialis";"1";"predation"
"Crangon crangon";"sedimented detritus";"1";"commensalism"
"Crangon crangon";"meiofauna";"1";"predation"
"Nereis diversicolor";"sedimented detritus";"1";"commensalism"
"Nereis diversicolor";"meiofauna";"1";"predation"
"Pomatoschistus minutus";"Cirratulidae";"1";"predation"
"Pomatoschistus minutus";"Capitellidae";"1";"predation"
"Pomatoschistus minutus";"Maldanidae";"1";"predation"
"Pomatoschistus minutus";"Crangon crangon";"1";"predation"
"Pomatoschistus minutus";"Nereis diversicolor";"1";"predation"
"Conger conger";"Cirratulidae";"1";"predation"
"Conger conger";"Capitellidae";"1";"predation"
"Conger conger";"Maldanidae";"1";"predation"
"Conger conger";"Engraulis encrasicolus";"1";"predation"
"Conger conger";"Sardina pilchardus";"1";"predation"
"Conger conger";"Carcinus maenas";"1";"predation"
"Conger conger";"Crangon crangon";"1";"predation"
"Conger conger";"Nereis diversicolor";"1";"predation"
"Trigla lucerna";"Gammaridae";"1";"predation"
"Trigla lucerna";"Cirratulidae";"1";"predation"
"Trigla lucerna";"Capitellidae";"1";"predation"
"Trigla lucerna";"Maldanidae";"1";"predation"
"Trigla lucerna";"Carcinus maenas";"1";"predation"
"Trigla lucerna";"Crangon crangon";"1";"predation"
"Trigla lucerna";"Nereis diversicolor";"1";"predation"
"Trigla lucerna";"Pomatoschistus minutus";"1";"predation"
"Solea vulgaris";"Cirratulidae";"1";"predation"
"Solea vulgaris";"Capitellidae";"1";"predation"
"Solea vulgaris";"Maldanidae";"1";"predation"
"Solea vulgaris";"Crangon crangon";"1";"predation"
"Solea vulgaris";"Nereis diversicolor";"1";"predation"
"Nereis succinea";"sedimented detritus";"1";"commensalism"
"Nereis succinea";"meiofauna";"1";"predation"
"Dicentrarchus labrax";"Sardina pilchardus";"1";"predation"
"Dicentrarchus labrax";"Clupeidae";"1";"predation"
"Dicentrarchus labrax";"Carcinus maenas";"1";"predation"
"Dicentrarchus labrax";"Crangon crangon";"1";"predation"
"Dicentrarchus labrax";"Nereis succinea";"1";"predation"
"Ciliata mustela";"Mysidacea";"1";"predation"
"Ciliata mustela";"Mytilus galloprovincialis";"1";"predation"
"Ciliata mustela";"Gammaridae";"1";"predation"
"Ciliata mustela";"Corophium";"1";"predation"
"Ciliata mustela";"Cirratulidae";"1";"predation"
"Ciliata mustela";"Capitellidae";"1";"predation"
"Ciliata mustela";"Maldanidae";"1";"predation"
"Ciliata mustela";"Carcinus maenas";"1";"predation"
"Ciliata mustela";"Crangon crangon";"1";"predation"
"Ciliata mustela";"Nereis diversicolor";"1";"predation"
"Ciliata mustela";"Pomatoschistus minutus";"1";"predation"
"Ciliata mustela";"Conger conger";"1";"predation"
"Ciliata mustela";"Trigla lucerna";"1";"predation"
"Ciliata mustela";"Solea vulgaris";"1";"predation"
"Ciliata mustela";"Nereis succinea";"1";"predation"
"birds";"Scrobicularia plana";"1";"predation"
"birds";"Cerastoderma";"1";"predation"
"birds";"Engraulis encrasicolus";"1";"predation"
"birds";"Sardina pilchardus";"1";"predation"
"birds";"Clupeidae";"1";"predation"
"birds";"Pomatoschistus minutus";"1";"predation"
"birds";"Conger conger";"1";"predation"
"birds";"Trigla lucerna";"1";"predation"
"birds";"Solea vulgaris";"1";"predation"
"birds";"Ciliata mustela";"1";"predation"
