"name";"bold";"eol";"tsn";"ncbi"
"Microzooplankton";NA;NA;NA;NA
"Limacina helicina";30719;6275972;76344;220647
"Copepods";NA;NA;85257;6830
"Meroplankton";NA;NA;NA;NA
"Dissostichus eleginoides";18152;7317259;642807;100907
"Orcinus orca";88943;7196185;180469;9733
"Euphausia crystallorophias";30906;5810249;95520;48141
"Balaenoptera";3105;10229670;180526;9766
"Hydrurga leptonyx";28495;7197953;180667;29086
"Lobodon carcinophagus";NA;7197951;180663;101849
"Leptonychotes weddellii";28494;7197970;180669;9713
"Pygoscelis adeliae";52308;6142139;174445;9238
"Aptenodytes forsteri";52296;5741374;174449;9233
"Procellariiformes";337;11145044;174512;30449
"Caulolatilus cyanops";316853;7249503;168541;2100588
"Phaeocystis";163632;8106022;NA;33656
"Cryptophyceae";99173;6918184;10598;3027
