"name";"bold";"eol";"tsn";"ncbi"
"Anthopleura";85257;10232246;52556;6109
"Edwardsia";592472;12251990;41478;51817
"Enopla";93;8158342;67809;6225
"Abarenicola";595378;7900086;67505;273050
"Capitellid";NA;NA;67452;NA
"Heteromastus";370304;12097072;67466;397553
"Decamastus";205782;12114711;NA;1932350
"Paraonis";NA;7628471;66701;397593
"Scoloplos johnstonei";NA;7900579;NA;205119
"Macroclymenella";NA;NA;NA;NA
"Hesionid";NA;8049357;204414;NA
"Exogone heterosetosa";NA;8048834;NA;1045412
"Exogone";205784;5728624;65725;199555
"Perinereis";152861;8049542;65986;6354
"Sphaerodorum";401416;8050969;66070;948934
"Spio";122729;6977057;66838;876021
"Boccardia syrtis";NA;7629633;NA;1231927
"Boccardia acus";NA;7629632;NA;1231925
"Malacoceros";190358;7629142;66922;104704
"Prinospio";NA;NA;NA;NA
"Colurostylis lemurum";NA;5809615;NA;NA
"Diastylopsis thileniusi";NA;5809577;NA;NA
"Tanaidacidae";NA;NA;NA;NA
"Heterophoxus stephenseni";NA;6074705;NA;NA
"Phoxocephalus regium";NA;6074432;NA;NA
"Pontarpinia australis";NA;NA;NA;NA
"Cymodopsis";NA;6071016;92390;638703
"Heterosquilla";5481;12256682;99192;77693
"Macrophthalmus";69702;7226657;165856;53300
"Hemigrapsus crenulatus";393097;7102406;NA;538204
"Hemigrapsus edwardsii";NA;NA;NA;NA
"Notoacmea helmsi";103559;NA;NA;284142
"Diloma";79352;5689067;NA;319496
"Zeacumantus";2949;12261782;NA;69702
"Pyramidellidae";81653;NA;75446;160015
"Cominella";208503;12232338;NA;128472
"Nucula";2066;5703119;79127;47128
"Perrierina";NA;5852325;NA;NA
"Macomona";223191;6277021;NA;NA
"Austrovenus";223193;5997360;NA;186447
"Pelecypoda";NA;NA;79119;6544
"Flatfish";NA;NA;616308;NA
"Sprattus";52080;12269998;161792;196074
"Notolabrus celidotus";99867;7223359;614004;1203425
"Barracuta";NA;NA;NA;NA
"Haematopus";4544;12188452;176470;32635
"Vanellus";6931;12092100;176482;50403
"Larus";4467;12220933;85471;8911
"Ardea novaehollandiae";747692;NA;174788;390973
"Sterna striata";71321;8069576;176916;297824
"Anas platyrhynchos";12104;10236132;NA;8839
"Maritrema";499994;5861026;56457;99694
"Levinseniella";499990;5861155;NA;116880
"Curtuteria";906213;5726644;NA;500587
"Gymnophallus";302075;5723567;55584;431612
"Ascarophis";234967;8000982;1082067;335497
"Acuariidae";174783;12290138;63775;378100
"Profilicollis";653452;5738851;198019;317569
"Bacillariophyta";730254;12223069;NA;2836
