"sp_taxon_1";"sp_taxon_2";"value";"type"
"Seabirds";"Seabirds";2e-05;"predation"
"Seabirds";"Mackerels";0,051;"predation"
"Seabirds";"Horse mackerels";0,001;"predation"
"Seabirds";"Benthic cephalopods";0,002;"predation"
"Seabirds";"Anchovy";0,089;"predation"
"Seabirds";"Sardine";0,171;"predation"
"Seabirds";"Macrozooplankton";0,002;"predation"
"Seabirds";"Discard";0,281;"commensalism"
"Seabirds";"Import";0,404;"predation"
"Killer whales";"Adult hake";0,184;"predation"
"Killer whales";"Mackerels";0,121;"predation"
"Killer whales";"Benthopelagic cephalopods";0,389;"predation"
"Killer whales";"Anchovy";0,026;"predation"
"Killer whales";"Sardine";0,01;"predation"
"Killer whales";"Shrimps";0,27;"predation"
"Dolphins";"Adult hake";0,03;"predation"
"Dolphins";"Mackerels";0,065;"predation"
"Dolphins";"Horse mackerels";0,066;"predation"
"Dolphins";"Benthic cephalopods";0,012;"predation"
"Dolphins";"Common octopus";0,001;"predation"
"Dolphins";"Benthopelagic cephalopods";0,048;"predation"
"Dolphins";"Deep-sea fishes";0,02;"predation"
"Dolphins";"Small benthopelagic fishes";0,011;"predation"
"Dolphins";"Flatfishes";0,009;"predation"
"Dolphins";"Commercial sparids (1)";0,003;"predation"
"Dolphins";"Commercial sparids (2)";0,412;"predation"
"Dolphins";"Blue whiting";0,026;"predation"
"Dolphins";"Small demersal fishes";0,003;"predation"
"Dolphins";"Anchovy";0,076;"predation"
"Dolphins";"Sardine";0,176;"predation"
"Dolphins";"Rose shrimp";0,017;"predation"
"Dolphins";"Mantis shrimp";0,003;"predation"
"Dolphins";"Shrimps";0,022;"predation"
"Loggerhead turtles";"Benthic cephalopods";0,1;"predation"
"Loggerhead turtles";"Crabs";0,082;"predation"
"Loggerhead turtles";"Gelatinous zooplankton";0,02;"predation"
"Loggerhead turtles";"Benthic invertebrates (C.)";0,1;"predation"
"Loggerhead turtles";"Discard";0,25;"commensalism"
"Loggerhead turtles";"Import";0,448;"predation"
"Sharks";"Sharks";0,002;"predation"
"Sharks";"Demersal piscivores";0,009;"predation"
"Sharks";"Juvenile hake";0,003;"predation"
"Sharks";"Mackerels";0,203;"predation"
"Sharks";"Horse mackerels";0,007;"predation"
"Sharks";"Benthic cephalopods";0,013;"predation"
"Sharks";"Common octopus";0,006;"predation"
"Sharks";"Benthopelagic cephalopods";0,078;"predation"
"Sharks";"Deep-sea fishes";0,01;"predation"
"Sharks";"Large benthopelagic fishes";0,087;"predation"
"Sharks";"Small benthopelagic fishes";0,045;"predation"
"Sharks";"Flatfishes";0,018;"predation"
"Sharks";"Demersal fishes";0,005;"predation"
"Sharks";"Blue whiting";0,01;"predation"
"Sharks";"Anchovy";0,047;"predation"
"Sharks";"Sardine";0,053;"predation"
"Sharks";"Rose shrimp";0,01;"predation"
"Sharks";"Mantis shrimp";1e-05;"predation"
"Sharks";"Crabs";0,071;"predation"
"Sharks";"Shrimps";0,11;"predation"
"Sharks";"Benthic invertebrates (C.)";1e-04;"predation"
"Sharks";"Polychaetes";0,024;"predation"
"Sharks";"Suprabenthos";0,079;"predation"
"Sharks";"Benthic invertebrates (F/D/S)";0,002;"predation"
"Sharks";"Macrozooplankton";0,103;"predation"
"Sharks";"Discard";0,004;"commensalism"
"Demersal piscivores";"Sharks";0,005;"predation"
"Demersal piscivores";"Demersal piscivores";0,003;"predation"
"Demersal piscivores";"Juvenile hake";0,051;"predation"
"Demersal piscivores";"Mackerels";0,22;"predation"
"Demersal piscivores";"Horse mackerels";0,233;"predation"
"Demersal piscivores";"Benthic cephalopods";0,011;"predation"
"Demersal piscivores";"Benthopelagic cephalopods";0,013;"predation"
"Demersal piscivores";"Deep-sea fishes";0,028;"predation"
"Demersal piscivores";"Large benthopelagic fishes";0,002;"predation"
"Demersal piscivores";"Small benthopelagic fishes";0,07;"predation"
"Demersal piscivores";"Flatfishes";0,022;"predation"
"Demersal piscivores";"Demersal fishes";0,026;"predation"
"Demersal piscivores";"Blue whiting";0,03;"predation"
"Demersal piscivores";"Small demersal fishes";0,046;"predation"
"Demersal piscivores";"Anchovy";0,066;"predation"
"Demersal piscivores";"Sardine";0,029;"predation"
"Demersal piscivores";"Rose shrimp";0,012;"predation"
"Demersal piscivores";"Norway lobster";0,02;"predation"
"Demersal piscivores";"Crabs";0,057;"predation"
"Demersal piscivores";"Shrimps";0,046;"predation"
"Demersal piscivores";"Polychaetes";0,002;"predation"
"Demersal piscivores";"Suprabenthos";0,002;"predation"
"Demersal piscivores";"Benthic invertebrates (F/D/S)";0,005;"predation"
"Demersal piscivores";"Macrozooplankton";3e-04;"predation"
"Anglerfishes";"Adult hake";0,429;"predation"
"Anglerfishes";"Juvenile hake";0,233;"predation"
"Anglerfishes";"Benthic cephalopods";0,088;"predation"
