"name";"bold";"eol";"tsn";"ncbi"
"Iniidae";1016;12278601;52833;197540
"Caretta caretta";158933;7632724;NA;8467
"Selachimorpha";NA;NA;159787;NA
"Lophiiformes";255;11157641;164495;8070
"Rajidae";946;11153847;160845;30475
"Gadiformes";241;11148234;164665;8043
"Merlucciidae";24199;11165148;164789;8061
"Scombridae";1846;11166485;172398;8224
"Trachurus japonicus";30398;7227875;642012;83875
"Cephalopods";NA;NA;NA;6605
"Octopus vulgaris";26440;6263740;NA;6645
"Commercial sparids";NA;NA;NA;NA
"Micromesistius poutassou";51401;7246327;164774;81636
"Engraulidae";1264;11182217;553173;43062
"Sardinella";47296;6985261;161766;96885
"Parapenaeus longirostris";89921;6080943;95733;445224
"Nephrops norvegicus";89911;NA;97317;6829
"Stomatopoda";331;7623803;99140;75390
"Suprabenthos";NA;NA;NA;NA
"Meso and microzooplankton";NA;NA;NA;NA
"Discard";NA;NA;NA;NA
"Import";NA;NA;152824;NA
