"sp_taxon_1";"sp_taxon_2";"value";"type"
"planktonic bacteria";"detritus";"1";"commensalism"
"sediment bacteria";"detritus";"1";"commensalism"
"meibenthos";"detritus";"1";"commensalism"
"meibenthos";"sediment bacteria";"1";"predation"
"meibenthos";"phytobenthos";"1";"herbivory"
"deposit feeders";"phytoplankton";"1";"herbivory"
"deposit feeders";"planktonic bacteria";"1";"predation"
"deposit feeders";"detritus";"1";"commensalism"
"deposit feeders";"sediment bacteria";"1";"predation"
"deposit feeders";"phytobenthos";"1";"herbivory"
"deposit feeders";"meibenthos";"1";"predation"
"zooplankton";"phytoplankton";"1";"herbivory"
"zooplankton";"planktonic bacteria";"1";"predation"
"filter feeders";"phytoplankton";"1";"herbivory"
"filter feeders";"planktonic bacteria";"1";"predation"
"filter feeders";"detritus";"1";"commensalism"
"filter feeders";"zooplankton";"1";"predation"
"crustaceans";"sediment bacteria";"1";"predation"
"crustaceans";"phytobenthos";"1";"herbivory"
"crustaceans";"meibenthos";"1";"predation"
"fishes";"meibenthos";"1";"predation"
"fishes";"deposit feeders";"1";"predation"
"fishes";"zooplankton";"1";"predation"
"fishes";"filter feeders";"1";"predation"
"fishes";"crustaceans";"1";"predation"
"birds";"meibenthos";"1";"predation"
"birds";"deposit feeders";"1";"predation"
"birds";"filter feeders";"1";"predation"
"birds";"crustaceans";"1";"predation"
"birds";"fishes";"1";"predation"
