"name";"bold";"eol";"tsn";"ncbi"
"Aphantochroa cirrhochloris";NA;NA;NA;NA
"Glaucis hirsuta";NA;NA;NA;"190457"
"Phaethornis squalidus";"114934";"60996280";"555040";"1507482"
"Rhamphodon naevius";NA;NA;NA;"1956483"
"Heliconius erato";"12309";"52260275";NA;"33431"
"Heliconius ethilla";"104052";"52260306";NA;"33418"
"Heliconius nattereri";"164113";"51226639";NA;"310795"
"Heliconius numato";NA;NA;NA;NA
"Heliconius sara";"55878";"52260516";NA;"33443"
"Oleria aquata";NA;"52267812";NA;"127249"
"Paracalystos";NA;NA;NA;NA
"Saliana triangularis";"20002";"52440204";NA;"355142"
"Strymon oreala";NA;NA;NA;NA
"Bombus morio";"83733";"52194028";"714963";"203812"
"Epicharis obscura";NA;"52193206";"764943";NA
"Euglossa chalybeata";"111477";"46499006";"763386";"269490"
"Euglossa";"7250";"52190924";"763375";"60901"
"Trigona fulviventris";"252942";"46499832";"764135";"478158"
"Aechmea araneosa";NA;"53003547";NA;NA
"Aechmea triangularis";"679524";"53003795";NA;"1506199"
"Aechmea victoriana";NA;"50839830";NA;"1904280"
"Neoregelia magdalaenae";NA;NA;NA;NA
"Quesnelia strobilispica";"679584";NA;NA;"1506242"
"Tillandsia geminifolia";NA;NA;NA;NA
"Aechmea pineliana";NA;"53003734";NA;"1836437"
"Canistrum triangulare";"679552";"53005827";NA;"1506224"
"Vriesea simplex";NA;"53004369";NA;"1601805"
"Portea petropolitana";NA;"53004065";NA;"326801"
"Aechmea bromeliifolia";"294946";"53003563";NA;"713979"
"Vriesea psittacina";"418970";"53004325";NA;"294109"
"Aechmea mutica";"679507";"53003707";NA;"1506195"
"Aechmea nudicaulis";"419229";"46201616";"42333";"294000"
"Nidularium cariacicaense";NA;"53003493";NA;NA
"Nidularium procerum";"419092";"53003516";NA;"326797"
"Vriesea gracilior";NA;"53004186";NA;"2086507"
"Neoregelia sp";NA;NA;NA;NA
"Tillandsia tenuifolia";"554479";"61390062";"565569";"294086"
"Acanthostachys strobilaceae";NA;NA;NA;"106425"
"Aechmea lingulata";"419161";"46201615";"42332";"430761"
