"original_name";"name_clear"
"Amazilia fimbriata";"Amazilia fimbriata"
"Aphantochroa cirrhochloris";"Aphantochroa cirrhochloris"
"Clytolaema rubricauda";"Clytolaema rubricauda"
"Glaucis hirsuta";"Glaucis hirsuta"
"Leucochloris albicollis";"Leucochloris albicollis"
"Phaethornis eurynome";"Phaethornis eurynome"
"Phaethornis squalidus";"Phaethornis squalidus"
"Rhamphodon naevius";"Rhamphodon naevius"
"Thalurania glaucopis";"Thalurania glaucopis"
"Heliconius erato";"Heliconius erato"
"Heliconius ethilla";"Heliconius ethilla"
"Heliconius nattereri";"Heliconius nattereri"
"Heliconius numato";"Heliconius numato"
"Heliconius sara";"Heliconius sara"
"Oleria aquata";"Oleria aquata"
"Paracalystos sp.";"Paracalystos"
"Saliana triangularis";"Saliana triangularis"
"Strymon oreala";"Strymon oreala"
"Bombus morio";"Bombus morio"
"Epicharis obscura";"Epicharis obscura"
"Euglossa chalybeata";"Euglossa chalybeata"
"Euglossa sp.";"Euglossa"
"Trigona fulviventris";"Trigona fulviventris"
"Aechmea araneosa";"Aechmea araneosa"
"Aechmea triangularis";"Aechmea triangularis"
"Aechmea victoriana";"Aechmea victoriana"
"Neoregelia magdalaenae";"Neoregelia magdalaenae"
"Quesnelia strobilispica";"Quesnelia strobilispica"
"Tillandsia geminifolia";"Tillandsia geminifolia"
"Aechmea pineliana";"Aechmea pineliana"
"Canistrum triangulare";"Canistrum triangulare"
"Vriesea simplex";"Vriesea simplex"
"Portea petropolitana";"Portea petropolitana"
"Aechmea bromeliifolia";"Aechmea bromeliifolia"
"Vriesea psittacina";"Vriesea psittacina"
"Aechmea mutica";"Aechmea mutica"
"Aechmea nudicaulis";"Aechmea nudicaulis"
"Billbergia amoena";"Billbergia amoena"
"Nidularium cariacicaense";"Nidularium cariacicaense"
"Nidularium procerum";"Nidularium procerum"
"Vriesea gracilior";"Vriesea gracilior"
"Neoregelia sp";"Neoregelia sp"
"Tillandsia tenuifolia";"Tillandsia tenuifolia"
"Acanthostachys strobilaceae";"Acanthostachys strobilaceae"
"Aechmea lingulata";"Aechmea lingulata"
