"original_name";"name_clear"
"Aulacorhynchus prasinus";"Aulacorhynchus prasinus"
"Myadestes melanops";"Myadestes melanops"
"Turdus plebejus";"Turdus plebejus"
"Pharomachrus mocinno";"Pharomachrus mocinno"
"Chiroxiphia linearis";"Chiroxiphia linearis"
"Semnornis frantzii";"Semnornis frantzii"
"Procnias tricarunculata";"Procnias tricarunculata"
"Chlorospingus ophthalmicus";"Chlorospingus ophthalmicus"
"Chamaepetes unicolor";"Chamaepetes unicolor"
"Elaenia frantzii";"Elaenia frantzii"
"Ramphastos sulfuratus";"Ramphastos sulfuratus"
"Chlorophonia callophrys";"Chlorophonia callophrys"
"Tityra semifasciata";"Tityra semifasciata"
"Trogon aurantiiventris";"Trogon aurantiiventris"
"Catharus ustulatus";"Catharus ustulatus"
"Phainoptila melanoxantha";"Phainoptila melanoxantha"
"Psilhorinus morio";"Psilhorinus morio"
"Tangara dowii";"Tangara dowii"
"Turdus assimilis";"Turdus assimilis"
"Columba fasciata";"Columba fasciata"
"Megarhynchus pitangua";"Megarhynchus pitangua"
"Turdus grayi";"Turdus grayi"
"Mionectes olivaceus";"Mionectes olivaceus"
"Momotus momota";"Momotus momota"
"Myiarchus tuberculifer";"Myiarchus tuberculifer"
"Myiozetetes similis";"Myiozetetes similis"
"Atlapetes gutturalis";"Atlapetes gutturalis"
"Euphonia hirundinacea";"Euphonia hirundinacea"
"Myiodynastes luteiventris";"Myiodynastes luteiventris"
"Piculus rubiginosus";"Piculus rubiginosus"
"Melanerpes aurifrons";"Melanerpes aurifrons"
"Melozone leucotis";"Melozone leucotis"
"Thrauphis episcopus";"Thrauphis episcopus"
"Columba flavirostris";"Columba flavirostris"
"Dacnis venusta";"Dacnis venusta"
"Elaenia flavogaster";"Elaenia flavogaster"
"Icterus galbula";"Icterus galbula"
"Pheucticus ludovicianus";"Pheucticus ludovicianus"
"Piranga rubra";"Piranga rubra"
"Tangara icterocephala";"Tangara icterocephala"
"Cavendishia melastomoides";"Cavendishia melastomoides"
"Dendropanax sp1 M_SD_019";"Dendropanax"
"Xylosma flexuosa";"Xylosma flexuosa"
"Prunus anularis";"Prunus anularis"
"Maytenus sp1 M_SD_019";"Maytenus"
"Solanum cordovense";"Solanum cordovense"
"Miconia sp1 M_SD_019";"Miconia"
"Blakea grasilis";"Blakea grasilis"
"Ossaea micrantha";"Ossaea micrantha"
"Beilschmiedia costaricensis";"Beilschmiedia costaricensis"
"Trophis mexicana";"Trophis mexicana"
"Guarea tonduzii";"Guarea tonduzii"
"Ilex lamprophylla";"Ilex lamprophylla"
"Eugenia sp1 M_SD_019";"Eugenia"
"Hieronyma guatemalensis";"Hieronyma guatemalensis"
"Zanthoxylum culantrillo";"Zanthoxylum culantrillo"
"Nectandra davidsoniana";"Nectandra davidsoniana"
"Witheringia solanacea";"Witheringia solanacea"
"Matayba apetala";"Matayba apetala"
"Palicourea galeottiana";"Palicourea galeottiana"
"Symplocarpon brenesii";"Symplocarpon brenesii"
"Trema micrantha";"Trema micrantha"
"Cestrum sp1 M_SD_019";"Cestrum"
"Ocotea sp1 M_SD_019";"Ocotea"
"Ocotea tonduzii";"Ocotea tonduzii"
"Prunus sp1 M_SD_019";"Prunus"
"Unidentified sp1 M_SD_019";"Unidentified"
"Beilschmiedia sp2 M_SD_019";"Beilschmiedia"
"Cestrum racemosum";"Cestrum racemosum"
"Concostegia xalapensis";"Concostegia xalapensis"
"Gonzalagunia rosea";"Gonzalagunia rosea"
"Piper sp1 M_SD_019";"Piper"
"Citharexylum macradenium";"Citharexylum macradenium"
"Clibadium sp1 M_SD_019";"Clibadium"
"Clusia alata";"Clusia alata"
"Concostegia bernouliana";"Concostegia bernouliana"
"Hampea appendiculata";"Hampea appendiculata"
"Hasseltia floribunda";"Hasseltia floribunda"
"Lycianthes multiflora";"Lycianthes multiflora"
"Nectandra gentlei";"Nectandra gentlei"
"Symplocos sp2 M_SD_019";"Symplocos"
"Xylosma chloranthum";"Xylosma chloranthum"
"Acnistus arborescens";"Acnistus arborescens"
"Anthurium sp1 M_SD_019";"Anthurium"
"Ardisia palmana";"Ardisia palmana"
"Besleria triflora";"Besleria triflora"
"Cecropia obtusifolia";"Cecropia obtusifolia"
"Chamaedorea sp1 M_SD_019";"Chamaedorea"
"Citharexylum integerrimum";"Citharexylum integerrimum"
"Drymonia conchocalyx";"Drymonia conchocalyx"
"Guettarda poasana";"Guettarda poasana"
"Ossaea sp1 M_SD_019";"Ossaea"
"Palicourea sp1 M_SD_019";"Palicourea"
"Phoebe mexicana";"Phoebe mexicana"
"Phytolacca rivinoides ";"Phytolacca rivinoides "
"Phytolacca sp1 M_SD_019";"Phytolacca"
"Piper auritum";"Piper auritum"
"Stemmadenia glabra";"Stemmadenia glabra"
"Burmeistera sp1 M_SD_019";"Burmeistera"
"Cavendishia capitulata";"Cavendishia capitulata"
"Concostegiaspeciosa sp1 M_SD_019";"Concostegiaspeciosa"
"Dendropanax querceti";"Dendropanax querceti"
"Mappia sp1 M_SD_019";"Mappia"
"Prunus cornifolia";"Prunus cornifolia"
"Rapanea myricoides";"Rapanea myricoides"
"Schefflera robusta";"Schefflera robusta"
"Xylosma intermedium";"Xylosma intermedium"
"Coussarea sp1 M_SD_019";"Coussarea"
"Dendropanax arboreus ";"Dendropanax arboreus "
"Epiphyte sp1 M_SD_019";"Epiphyte"
"Guarea glabra";"Guarea glabra"
"Hamelia patens";"Hamelia patens"
"Ocotea austinii";"Ocotea austinii"
"Oreopanax oerstedianum";"Oreopanax oerstedianum"
"Oreopanax xalapensis";"Oreopanax xalapensis"
"Psychotria parasitica";"Psychotria parasitica"
"Psychotria sp3 M_SD_019";"Psychotria"
"Satyria sp1 M_SD_019";"Satyria"
"Symplocos limoncillo";"Symplocos limoncillo"
"Unidentified sp3 M_SD_019";"Unidentified"
"Unidentified sp7 M_SD_019";"Unidentified"
"Beilschmiedia sp1 M_SD_019";"Beilschmiedia"
"Dendropanax gonatopodus";"Dendropanax gonatopodus"
"Eugenia sp2 M_SD_019";"Eugenia"
"Guarea tuisiana";"Guarea tuisiana"
"Hoffmannia sp1 M_SD_019";"Hoffmannia"
"Mappia racemosa";"Mappia racemosa"
