"name";"bold";"eol";"tsn";"ncbi"
"Aulacorhynchus prasinus";"95491";"57445075";"685732";"57399"
"Myadestes melanops";"98149";"61821845";"561271";"381535"
"Turdus plebejus";"98154";"55925255";NA;"411540"
"Pharomachrus mocinno";NA;"51365279";NA;"289186"
"Chiroxiphia linearis";"106223";"46579421";NA;"415020"
"Semnornis frantzii";"115353";"46575454";"554275";"91796"
"Procnias tricarunculata";NA;NA;NA;"462351"
"Chlorospingus ophthalmicus";"54403";"51360876";NA;"166061"
"Chamaepetes unicolor";"113180";"61831736";"175749";"301607"
"Elaenia frantzii";"71924";"46578357";"712037";"502636"
"Ramphastos sulfuratus";"97949";"61829464";NA;"322582"
"Chlorophonia callophrys";"120168";"52630597";"559215";NA
"Tityra semifasciata";"98217";"46579636";"711842";"254665"
"Trogon aurantiiventris";"98143";"57446781";NA;"297709"
"Catharus ustulatus";"9575";"51356598";"919339";"91951"
"Phainoptila melanoxantha";"97935";"55925956";NA;"161491"
"Psilhorinus morio";NA;NA;NA;NA
"Tangara dowii";"98028";"46587299";"563292";"256439"
"Turdus assimilis";"98151";"57437721";"919518";"411548"
"Columba fasciata";NA;NA;NA;"372321"
"Megarhynchus pitangua";NA;NA;NA;"478633"
"Turdus grayi";"98152";"46585606";"919508";"203558"
"Mionectes olivaceus";"98184";"55913753";"712183";"430701"
"Momotus momota";"88900";"57434663";"693040";"57426"
"Myiarchus tuberculifer";"9882";"57438171";"712754";"204060"
"Myiozetetes similis";"89064";"51357395";"712678";"478647"
"Atlapetes gutturalis";NA;NA;NA;"380375"
"Euphonia hirundinacea";"102616";"46586600";"731183";"175936"
"Myiodynastes luteiventris";"19861";"61822264";"178305";"371928"
"Piculus rubiginosus";NA;"51363428";"686383";"51361"
"Melanerpes aurifrons";"10351";"55910707";"686094";"371916"
"Melozone leucotis";"102644";"46583090";NA;"380373"
"Thrauphis episcopus";NA;NA;NA;NA
"Columba flavirostris";NA;NA;NA;"372339"
"Dacnis venusta";"120387";"46586919";NA;"664759"
"Icterus galbula";"9696";"57442845";"179083";"105513"
"Pheucticus ludovicianus";"16933";"57441311";"179139";"135444"
"Piranga rubra";"9607";"61825623";NA;"36733"
"Tangara icterocephala";"98033";"61825692";"730839";"548524"
"Cavendishia melastomoides";NA;NA;NA;NA
"Dendropanax";"194989";"57231269";NA;"46394"
