"original_name";"name_clear"
"organic debris";"Organic debris"
"plankton";"Plankton"
"water plant";"Water plant"
"marsh plants";"Marsh plants"
"bay shrimp";"Crangon alaskensis"
"silversides";"Menidia"
"mud snail";"Potamopyrgus antipodarum"
"clam";"Bivalvia"
"billfish";"Istiophoridae"
"eel";"Anguilliformes"
"blowfish";"Tetraodontidae"
"minnow 1";"Cyprinidae"
"minnow 2";"Cyprinidae"
"fluke";"Trematoda"
"cricket";"Gryllidae"
"mosquito";"Culicidae"
"tern";"Laridae"
"Osprey";"Pandion haliaetus"
"Green Heron";"Butorides virescens"
"merganser";"Mergus"
"cormorant";"Phalacrocorax"
"gull";"Laridae"
"kingfisher";"Actenoides concretus"
"Red-winged Blackbird";"Agelaius phoeniceus"
