"original_name";"name_clear"
"bay shrimp";"Crangon alaskensis"
"silversides";"Menidia"
"mud snail";"Potamopyrgus antipodarum"
"clam";"Bivalvia"
"mosquito";"Culicidae"
"cricket";"Gryllidae"
"billfish";"Istiophoridae"
"eel";"Anguilliformes"
"fluke";"Trematoda"
"blowfish";"Tetraodontidae"
"minnow 1";"Cyprinidae"
"minnow 2";"Cyprinidae"
"tern";"Laridae"
"Osprey";"Pandion haliaetus"
"Green Heron";"Butorides virescens"
"merganser";"Mergus"
"cormorant";"Phalacrocorax"
"gull";"Laridae"
"kingfisher";"Actenoides concretus"
"Red-winged Blackbird";"Agelaius phoeniceus"
"organic debris";"Organic debris"
"plankton";"Plankton"
"water plant";"Water plant"
"marsh plants";"Marsh plants"
