"sp_taxon_1";"sp_taxon_2";"value";"type"
"Scianids";"Carangids";0,005;"predation"
"Scianids";"Centropomids";0,06;"predation"
"Scianids";"Haemulids";0,025;"predation"
"Scianids";"Pleuronectoids";0,01;"predation"
"Scianids";"Callinectes";0,019;"predation"
"Scianids";"Belonoids";0,07;"predation"
"Scianids";"Clupeoids";0,11;"predation"
"Scianids";"Gerreids";0,051;"predation"
"Scianids";"Gobioids";0,003;"predation"
"Scianids";"Mugilids";0,06;"predation"
"Scianids";"Palaemonids";0,033;"predation"
"Scianids";"Litopenaeus";0,035;"predation"
"Scianids";"Microcrustaceans";0,461;"predation"
"Scianids";"Polychaetes";0,041;"predation"
"Scianids";"Gastropods";0,005;"predation"
"Scianids";"Detritus";0,012;"commensalism"
"Elopids";"Lutjanids";0,038;"predation"
"Elopids";"Haemulids";0,108;"predation"
"Elopids";"Belonoids";0,019;"predation"
"Elopids";"Gobioids";0,063;"predation"
"Elopids";"Mugilids";0,262;"predation"
"Elopids";"Palaemonids";0,007;"predation"
"Elopids";"Litopenaeus";0,134;"predation"
"Elopids";"Microcrustaceans";0,244;"predation"
"Elopids";"Polychaetes";0,068;"predation"
"Elopids";"Gastropods";0,043;"predation"
"Elopids";"Detritus";0,014;"commensalism"
"Lutjanids";"Haemulids";0,041;"predation"
"Lutjanids";"Callinectes";0,028;"predation"
"Lutjanids";"Clupeoids";0,162;"predation"
"Lutjanids";"Gerreids";0,085;"predation"
"Lutjanids";"Poeciliids";0,018;"predation"
"Lutjanids";"Gobioids";0,097;"predation"
"Lutjanids";"Mugilids";0,201;"predation"
"Lutjanids";"Litopenaeus";0,094;"predation"
"Lutjanids";"Bivalves";0,047;"predation"
"Lutjanids";"Microcrustaceans";0,094;"predation"
"Lutjanids";"Polychaetes";0,031;"predation"
"Lutjanids";"Gastropods";0,023;"predation"
"Lutjanids";"Detritus";0,079;"commensalism"
"Carangids";"Callinectes";0,018;"predation"
"Carangids";"Belonoids";0,026;"predation"
"Carangids";"Clupeoids";0,101;"predation"
"Carangids";"Gerreids";0,231;"predation"
"Carangids";"Gobioids";0,023;"predation"
"Carangids";"Mugilids";0,103;"predation"
"Carangids";"Litopenaeus";0,103;"predation"
"Carangids";"Bivalves";0,082;"predation"
"Carangids";"Microcrustaceans";0,263;"predation"
"Carangids";"Macrophytes";0,011;"predation"
"Carangids";"Detritus";0,039;"commensalism"
"Centropomids";"Scianids";0,016;"predation"
"Centropomids";"Carangids";0,005;"predation"
"Centropomids";"Callinectes";0,019;"predation"
"Centropomids";"Clupeoids";0,11;"predation"
"Centropomids";"Gerreids";0,055;"predation"
"Centropomids";"Poeciliids";0,002;"predation"
