"original_name";"name_clear"
"Scianids";"Sciaenidae"
"Elopids";"Elops"
"Lutjanids";"Lutjanidae"
"Carangids";"Carangidae"
"Centropomids";"Centropomidae"
"Ariids";"Ariidae"
"Haemulids";"Haemulidae"
"Pleuronectoids";"Pleuronectidae"
"Callinectes";"Callinectes"
"Belonoids";"Belonidae"
"Clupeoids";"Clupeidae"
"Gerreids";"Gerreidae"
"Poeciliids";"Poeciliidae"
"Gobioids";"Gobioidei"
"Mugilids";"Mugilidae"
"Palaemonids";"Palaemonidae"
"Litopenaeus";"Litopenaeus"
"Bivalves";"Bivalvia"
"Microcrustaceans";"Crustacea"
"Zooplankton";"Zooplankton"
"Chanids";"Chanidae"
"Polychaetes";"Polychaeta"
"Gastropods";"Gastropoda"
"Detritus";"Detritus"
"Macrophytes";"Macrophytes"
"Phytoplankton";"Phytoplankton"
